,n,p_0,p_1,boundary,isArtifact
very,890,0.40337078651685393,0.596629213483146,0.5809627024509557,True
best,807,0.1449814126394052,0.8550185873605948,0.585024332674804,True
any,788,0.6307106598984772,0.36928934010152287,0.586043266750671,True
love,777,0.18404118404118405,0.8159588159588159,0.5866501841380086,True
been,776,0.6662371134020618,0.3337628865979381,0.5867059974669122,True
life,772,0.2616580310880829,0.7383419689119171,0.5869303341871903,True
work,761,0.3455978975032852,0.6544021024967148,0.5875563545009027,True
enough,743,0.3566621803499327,0.6433378196500673,0.5886105827015496,True
only,707,0.6308345120226309,0.36916548797736914,0.5908385707560798,True
makes,701,0.3566333808844508,0.6433666191155493,0.5912264952430397,True
us,692,0.29624277456647397,0.703757225433526,0.5918178146908398,True
new,684,0.3684210526315789,0.631578947368421,0.5923532000720284,True
something,672,0.3869047619047619,0.6130952380952381,0.5931741335505359,True
do,666,0.6441441441441441,0.35585585585585583,0.5935928958112879,True
humor,660,0.33484848484848484,0.6651515151515152,0.5940173555662622,True
through,650,0.6061538461538462,0.39384615384615385,0.5947378056083386,True
was,641,0.6692667706708268,0.33073322932917315,0.5954005733086527,True
well,624,0.28525641025641024,0.7147435897435898,0.596691367954755,True
great,617,0.20097244732576985,0.7990275526742301,0.5972383133888267,True
would,611,0.690671031096563,0.309328968903437,0.5977145855283759,True
director,603,0.33499170812603646,0.6650082918739635,0.5983606394118741,True
performances,583,0.17495711835334476,0.8250428816466552,0.6000335593556765,True
plot,563,0.7744227353463587,0.2255772646536412,0.6017948488706433,True
drama,562,0.36298932384341637,0.6370106761565836,0.6018853734317702,True
her,560,0.30178571428571427,0.6982142857142857,0.6020671494432549,True
could,549,0.6302367941712204,0.3697632058287796,0.603084608797691,True
films,544,0.35661764705882354,0.6433823529411765,0.603557259642916,True
see,540,0.3851851851851852,0.6148148148148148,0.6039400973982412,True
fun,525,0.16,0.84,0.605414498663624,True
without,515,0.37281553398058254,0.6271844660194175,0.6064330198915328,True
cast,506,0.2826086956521739,0.717391304347826,0.6073753867088627,True
nothing,502,0.7470119521912351,0.25298804780876494,0.6078023283003684,True
both,499,0.2745490981963928,0.7254509018036072,0.6081258977973237,True
when,498,0.6164658634538153,0.38353413654618473,0.6082344034922614,True
look,496,0.3245967741935484,0.6754032258064516,0.6084523984834956,True
entertaining,477,0.14046121593291405,0.859538784067086,0.610591260942175,True
real,468,0.30982905982905984,0.6901709401709402,0.6116495746339818,True
often,462,0.341991341991342,0.658008658008658,0.6123722331467609,True
performance,453,0.18322295805739514,0.8167770419426048,0.6134830235717825,True
long,449,0.6547884187082406,0.34521158129175944,0.6139873950506478,True
while,442,0.3597285067873303,0.6402714932126696,0.614886464488945,True
still,441,0.26303854875283444,0.7369614512471655,0.6150166474933043,True
world,439,0.20273348519362186,0.7972665148063781,0.6152783466882673,True
script,436,0.6720183486238532,0.32798165137614677,0.6156742666174575,True
also,435,0.2896551724137931,0.7103448275862069,0.6158071492191327,True
interesting,426,0.33568075117370894,0.6643192488262911,0.6170240703688371,True
another,419,0.6420047732696897,0.35799522673031026,0.6179975494007918,True
heart,419,0.10978520286396182,0.8902147971360382,0.6179975494007918,True
dialogue,400,0.715,0.285,0.6207674798679695,True
minutes,399,0.8395989974937343,0.16040100250626566,0.6209187228575632,True
down,391,0.7058823529411765,0.29411764705882354,0.6221494794863369,True
get,388,0.6494845360824743,0.35051546391752575,0.6226207975567944,True
big,386,0.3756476683937824,0.6243523316062176,0.6229380575891501,True
thriller,377,0.259946949602122,0.7400530503978779,0.6243968331138875,True
less,368,0.7391304347826086,0.2608695652173913,0.6259088015090962,True
hard,368,0.6277173913043478,0.37228260869565216,0.6259088015090962,True
human,363,0.18457300275482094,0.8154269972451791,0.6267729763838635,True
moments,360,0.25833333333333336,0.7416666666666667,0.6273001012204382,True
actors,359,0.3342618384401114,0.6657381615598886,0.6274772761165065,True
tale,359,0.21448467966573817,0.7855153203342619,0.6274772761165065,True
compelling,354,0.1638418079096045,0.8361581920903954,0.6283743827238492,True
romantic,351,0.3076923076923077,0.6923076923076923,0.6289218239396732,True
rather,350,0.66,0.34,0.629105866608589,True
cinema,350,0.2742857142857143,0.7257142857142858,0.629105866608589,True
year,347,0.3631123919308357,0.6368876080691642,0.629662760063015,True
family,346,0.2254335260115607,0.7745664739884393,0.6298499988032453,True
worth,331,0.21450151057401812,0.7854984894259819,0.6327596205566471,True
seem,329,0.7203647416413373,0.2796352583586626,0.6331625338367524,True
seems,323,0.6934984520123839,0.3065015479876161,0.6343936466214495,True
were,323,0.7863777089783281,0.21362229102167182,0.6343936466214495,True
documentary,323,0.2724458204334365,0.7275541795665634,0.6343936466214495,True
emotional,321,0.2897196261682243,0.7102803738317757,0.6348116683047256,True
our,319,0.23510971786833856,0.7648902821316614,0.6352336150901761,True
visual,315,0.2920634920634921,0.707936507936508,0.6360895325910065,True
fascinating,311,0.07717041800643087,0.9228295819935691,0.6369619103229289,True
moving,310,0.04516129032258064,0.9548387096774194,0.6371826387664149,True
sweet,309,0.15210355987055016,0.8478964401294499,0.6374044378421563,True
right,308,0.22077922077922077,0.7792207792207793,0.6376273162333153,True
works,307,0.19218241042345277,0.8078175895765473,0.6378512827219673,True
feels,306,0.7450980392156863,0.2549019607843137,0.6380763461905546,True
full,300,0.34,0.66,0.6394502740222499,True
piece,296,0.28378378378378377,0.7162162162162162,0.6403893437169319,True
care,291,0.6563573883161512,0.3436426116838488,0.6415903009553238,True
yet,291,0.35738831615120276,0.6426116838487973,0.6415903009553238,True
music,288,0.2569444444444444,0.7430555555555556,0.6423258399357519,True
dull,285,0.9122807017543859,0.08771929824561403,0.6430729623391711,True
me,285,0.7087719298245614,0.2912280701754386,0.6430729623391711,True
young,281,0.27402135231316727,0.7259786476868327,0.6440876769146568,True
ca,281,0.6619217081850534,0.33807829181494664,0.6440876769146568,True
keep,280,0.2714285714285714,0.7285714285714285,0.6443447470154127,True
anything,273,0.663003663003663,0.336996336996337,0.646183607734241,True
why,272,0.7242647058823529,0.2757352941176471,0.6464520810692038,True
american,272,0.34558823529411764,0.6544117647058824,0.6464520810692038,True
worst,271,0.974169741697417,0.025830258302583026,0.646722039051433,True
smart,271,0.16974169741697417,0.8302583025830258,0.646722039051433,True
experience,268,0.31343283582089554,0.6865671641791045,0.6475409591178112,True
comic,268,0.25,0.75,0.6475409591178112,True
enjoyable,267,0.07865168539325842,0.9213483146067416,0.6478169948298909,True
cinematic,265,0.3132075471698113,0.6867924528301886,0.6483737463104724,True
part,264,0.23106060606060605,0.7689393939393939,0.6486544915876492,True
where,261,0.6666666666666666,0.3333333333333333,0.6495063867658194,True
beautiful,260,0.07692307692307693,0.9230769230769231,0.6497936231243118,True
entertainment,260,0.27307692307692305,0.7269230769230769,0.6497936231243118,True
history,259,0.22007722007722008,0.7799227799227799,0.6500825214122298,True
style,259,0.27413127413127414,0.7258687258687259,0.6500825214122298,True
thing,257,0.6926070038910506,0.30739299610894943,0.6506653683488841,True
art,256,0.26171875,0.73828125,0.650959349834962,True
clever,256,0.2421875,0.7578125,0.650959349834962,True
gives,250,0.332,0.668,0.6527601214645258,True
idea,239,0.7489539748953975,0.2510460251046025,0.6562359774790874,True
amusing,238,0.22268907563025211,0.7773109243697479,0.6565638602688578,True
engaging,237,0.11814345991561181,0.8818565400843882,0.6568938160832519,True
same,236,0.6652542372881356,0.3347457627118644,0.6572258668590952,True
powerful,236,0.025423728813559324,0.9745762711864406,0.6572258668590952,True
intelligent,235,0.1276595744680851,0.8723404255319149,0.6575600348595859,True
star,235,0.28936170212765955,0.7106382978723405,0.6575600348595859,True
energy,234,0.32051282051282054,0.6794871794871795,0.6578963426805642,True
charming,232,0.08189655172413793,0.9181034482758621,0.6585754698692143,True
surprisingly,231,0.22510822510822512,0.7748917748917749,0.6589183361503007,True
summer,226,0.29646017699115046,0.7035398230088495,0.6606666652853425,True
charm,223,0.2645739910313901,0.7354260089686099,0.6617437723098025,True
short,220,0.740909090909091,0.2590909090909091,0.6628428366340349,True
solid,219,0.0136986301369863,0.9863013698630136,0.6632142004837889,True
pretty,217,0.31336405529953915,0.6866359447004609,0.6639646145576046,True
feature,211,0.3033175355450237,0.6966824644549763,0.6662795236581518,True
silly,210,0.7476190476190476,0.2523809523809524,0.6666749570909138,True
whose,208,0.2644230769230769,0.7355769230769231,0.6674743619509728,True
manages,207,0.23671497584541062,0.7632850241545893,0.6678784020121282,True
strong,207,0.07246376811594203,0.927536231884058,0.6678784020121282,True
face,206,0.3058252427184466,0.6941747572815534,0.6682853805536253,True
predictable,206,0.8543689320388349,0.14563106796116504,0.6682853805536253,True
wit,205,0.28780487804878047,0.7121951219512195,0.6686953333670651,True
think,205,0.7073170731707317,0.2926829268292683,0.6686953333670651,True
enjoy,205,0.28292682926829266,0.7170731707317073,0.6686953333670651,True
offers,204,0.23529411764705882,0.7647058823529411,0.6691082968573714,True
deeply,202,0.18811881188118812,0.8118811881188119,0.6699434046367366,True
perfect,202,0.0891089108910891,0.9108910891089109,0.6699434046367366,True
satisfying,201,0.15422885572139303,0.845771144278607,0.6703656249263277,True
power,199,0.06532663316582915,0.9346733668341709,0.6712195933092524,True
fans,199,0.31155778894472363,0.6884422110552764,0.6712195933092524,True
always,197,0.2233502538071066,0.7766497461928934,0.672086533501342,True
becomes,196,0.7653061224489796,0.23469387755102042,0.6725249712399565,True
spirit,195,0.11282051282051282,0.8871794871794871,0.6729667772674215,True
fresh,194,0.2422680412371134,0.7577319587628866,0.6734119949338243,True
beautifully,193,0.031088082901554404,0.9689119170984456,0.6738606683743806,True
true,193,0.3005181347150259,0.6994818652849741,0.6738606683743806,True
trying,193,0.8186528497409327,0.18134715025906736,0.6738606683743806,True
half,192,0.6770833333333334,0.3229166666666667,0.6743128425278123,True
quirky,192,0.19791666666666666,0.8020833333333334,0.6743128425278123,True
tone,188,0.3191489361702128,0.6808510638297872,0.6761574742416353,True
portrait,188,0.026595744680851064,0.973404255319149,0.6761574742416353,True
hilarious,188,0.026595744680851064,0.973404255319149,0.6761574742416353,True
fine,186,0.1827956989247312,0.8172043010752689,0.677102025110371,True
flat,185,0.9837837837837838,0.016216216216216217,0.6775800341447016,True
rare,185,0.07567567567567568,0.9243243243243243,0.6775800341447016,True
rich,183,0.07650273224043716,0.9234972677595629,0.6785477799159625,True
hours,182,0.6813186813186813,0.31868131868131866,0.6790376238540314,True
romance,180,0.3,0.7,0.6800295296374115,True
touching,178,0.0056179775280898875,0.9943820224719101,0.6810381063224258,True
remarkable,176,0.03977272727272727,0.9602272727272727,0.6820638261812975,True
modern,176,0.17045454545454544,0.8295454545454546,0.6820638261812975,True
study,176,0.17045454545454544,0.8295454545454546,0.6820638261812975,True
wonderful,174,0.04597701149425287,0.9540229885057471,0.6831071804317246,True
pleasure,174,0.2413793103448276,0.7586206896551724,0.6831071804317246,True
boring,173,0.884393063583815,0.11560693641618497,0.6836356293816797,True
small,172,0.22093023255813954,0.7790697674418605,0.6841686802253697,True
exercise,171,0.7426900584795322,0.2573099415204678,0.6847064001440568,True
title,170,0.7294117647058823,0.27058823529411763,0.6852488577001246,True
instead,170,0.8,0.2,0.6852488577001246,True
honest,169,0.05325443786982249,0.9467455621301775,0.6857961228737993,True
culture,168,0.20833333333333334,0.7916666666666666,0.6863482671010719,True
dumb,167,0.8023952095808383,0.19760479041916168,0.686905363312867,True
intriguing,167,0.09580838323353294,0.9041916167664671,0.686905363312867,True
tv,165,0.8545454545454545,0.14545454545454545,0.6880347111325246,True
video,164,0.725609756097561,0.27439024390243905,0.688607116447873,True
already,163,0.8466257668711656,0.15337423312883436,0.6891847812505948,True
lack,160,0.9125,0.0875,0.6909501518306573,True
stories,159,0.29559748427672955,0.7044025157232704,0.6915496828249545,True
obvious,158,0.7848101265822784,0.21518987341772153,0.692154896601018,True
terrific,156,0.019230769230769232,0.9807692307692307,0.6933827359095099,True
images,156,0.21794871794871795,0.782051282051282,0.6933827359095099,True
french,156,0.16666666666666666,0.8333333333333334,0.6933827359095099,True
memorable,156,0.28205128205128205,0.717948717948718,0.6933827359095099,True
visually,156,0.30128205128205127,0.6987179487179487,0.6933827359095099,True
adventure,153,0.0915032679738562,0.9084967320261438,0.695269441425605,True
beauty,151,0.09933774834437085,0.9006622516556292,0.696558362622864,True
gentle,151,0.09271523178807947,0.9072847682119205,0.696558362622864,True
mess,149,0.9731543624161074,0.026845637583892617,0.6978731489369625,True
fails,148,0.8918918918918919,0.10810810810810811,0.6985405138971432,True
ride,147,0.1564625850340136,0.8435374149659864,0.6992146771746426,True
slow,147,0.7619047619047619,0.23809523809523808,0.6992146771746426,True
cold,144,0.75,0.25,0.7012791331132826,True
reason,144,0.8472222222222222,0.1527777777777778,0.7012791331132826,True
head,144,0.75,0.25,0.7012791331132826,True
cliches,144,0.8541666666666666,0.14583333333333334,0.7012791331132826,True
gorgeous,143,0.06993006993006994,0.9300699300699301,0.7019816802165635,True
jokes,143,0.7552447552447552,0.24475524475524477,0.7019816802165635,True
left,143,0.8391608391608392,0.16083916083916083,0.7019816802165635,True
bland,142,0.8873239436619719,0.11267605633802817,0.7026916355873415,True
proves,141,0.28368794326241137,0.7163120567375887,0.7034091303463454,True
low,139,0.8920863309352518,0.1079136690647482,0.704867278978721,True
run,138,0.7898550724637681,0.21014492753623187,0.7056082118817695,True
above,137,0.26277372262773724,0.7372262773722628,0.7063572424567091,True
stupid,137,0.9854014598540146,0.014598540145985401,0.7063572424567091,True
thoughtful,137,0.1386861313868613,0.8613138686131386,0.7063572424567091,True
contrived,136,0.9632352941176471,0.03676470588235294,0.7071145192858319,True
excellent,136,0.051470588235294115,0.9485294117647058,0.7071145192858319,True
simple,136,0.23529411764705882,0.7647058823529411,0.7071145192858319,True
ugly,135,0.9851851851851852,0.014814814814814815,0.7078801947964825,True
eyes,135,0.14074074074074075,0.8592592592592593,0.7078801947964825,True
different,135,0.17037037037037037,0.8296296296296296,0.7078801947964825,True
debut,135,0.2740740740740741,0.725925925925926,0.7078801947964825,True
complex,135,0.17037037037037037,0.8296296296296296,0.7078801947964825,True
tired,135,0.9555555555555556,0.044444444444444446,0.7078801947964825,True
else,135,0.7555555555555555,0.24444444444444444,0.7078801947964825,True
lacks,134,0.8432835820895522,0.15671641791044777,0.7086544253899429,True
brilliant,133,0.09022556390977443,0.9097744360902256,0.7094373715756397,True
warmth,132,0.07575757575757576,0.9242424242424242,0.7102291981109307,True
certainly,131,0.26717557251908397,0.732824427480916,0.7110300741467505,True
attempt,131,0.732824427480916,0.26717557251908397,0.7110300741467505,True
wrong,130,0.7538461538461538,0.24615384615384617,0.7118401733794057,True
violence,130,0.823076923076923,0.17692307692307693,0.7118401733794057,True
lost,129,0.7131782945736435,0.2868217054263566,0.7126596742088306,True
cheap,129,0.7751937984496124,0.2248062015503876,0.7126596742088306,True
genuine,128,0.1640625,0.8359375,0.7134887599036278,True
soap,128,0.8359375,0.1640625,0.7134887599036278,True
personal,127,0.1889763779527559,0.8110236220472441,0.7143276187732445,True
role,127,0.28346456692913385,0.7165354330708661,0.7143276187732445,True
delightful,127,0.10236220472440945,0.8976377952755905,0.7143276187732445,True
plays,127,0.7322834645669292,0.2677165354330709,0.7143276187732445,True
impressive,125,0.056,0.944,0.7160354355648938,True
barely,125,0.864,0.136,0.7160354355648938,True
seeing,124,0.22580645161290322,0.7741935483870968,0.7169047969669913,True
appealing,124,0.07258064516129033,0.9274193548387096,0.7169047969669913,True
nor,124,0.8870967741935484,0.11290322580645161,0.7169047969669913,True
gags,123,0.7560975609756098,0.24390243902439024,0.7177847389045171,True
clichés,122,0.860655737704918,0.13934426229508196,0.7186754777504292,True
worse,122,0.9918032786885246,0.00819672131147541,0.7186754777504292,True
oldfashioned,121,0.2066115702479339,0.7933884297520661,0.719577236123581,True
surprising,121,0.12396694214876033,0.8760330578512396,0.719577236123581,True
engrossing,120,0.03333333333333333,0.9666666666666667,0.7204902431224598,True
running,120,0.8,0.2,0.7204902431224598,True
ambitious,120,0.275,0.725,0.7204902431224598,True
creative,119,0.07563025210084033,0.9243697478991597,0.7214147345697048,True
able,118,0.2033898305084746,0.7966101694915254,0.722350953267999,True
pretentious,118,0.9830508474576272,0.01694915254237288,0.722350953267999,True
worthy,118,0.11864406779661017,0.8813559322033898,0.722350953267999,True
decent,117,0.23076923076923078,0.7692307692307693,0.7232991492679637,True
psychological,117,0.23931623931623933,0.7606837606837606,0.7232991492679637,True
warm,116,0.05172413793103448,0.9482758620689655,0.724259580148729,True
ends,116,0.7672413793103449,0.23275862068965517,0.724259580148729,True
nice,116,0.06896551724137931,0.9310344827586207,0.724259580148729,True
imagine,116,0.75,0.25,0.724259580148729,True
none,115,0.8956521739130435,0.10434782608695652,0.7252325113118938,True
perfectly,115,0.008695652173913044,0.991304347826087,0.7252325113118938,True
waste,114,0.9385964912280702,0.06140350877192982,0.7262182162896362,True
sit,113,0.7787610619469026,0.22123893805309736,0.7272169770677899,True
deep,113,0.23008849557522124,0.7699115044247787,0.7272169770677899,True
unfunny,112,1.0,0.0,0.7282290844247479,True
job,112,0.17857142857142858,0.8214285714285714,0.7282290844247479,True
journey,112,0.1875,0.8125,0.7282290844247479,True
inventive,112,0.026785714285714284,0.9732142857142857,0.7282290844247479,True
try,111,0.7297297297297297,0.2702702702702703,0.7292548382871245,True
winning,111,0.17117117117117117,0.8288288288288288,0.7292548382871245,True
painful,111,0.7297297297297297,0.2702702702702703,0.7292548382871245,True
cool,111,0.10810810810810811,0.8918918918918919,0.7292548382871245,True
unique,110,0.00909090909090909,0.990909090909091,0.7302945481031584,True
convincing,110,0.20909090909090908,0.7909090909090909,0.7302945481031584,True
bring,109,0.22018348623853212,0.7798165137614679,0.7313485332349149,True
neither,109,0.8990825688073395,0.10091743119266056,0.7313485332349149,True
stylish,108,0.1111111111111111,0.8888888888888888,0.7324171233704164,True
thin,107,0.9065420560747663,0.09345794392523364,0.7335006589569074,True
master,107,0.2336448598130841,0.7663551401869159,0.7335006589569074,True
knows,107,0.1588785046728972,0.8411214953271028,0.7335006589569074,True
success,107,0.18691588785046728,0.8130841121495327,0.7335006589569074,True
believable,107,0.19626168224299065,0.8037383177570093,0.7335006589569074,True
artist,106,0.1509433962264151,0.8490566037735849,0.7345994916565487,True
lacking,106,0.8962264150943396,0.10377358490566038,0.7345994916565487,True
awful,106,0.8584905660377359,0.14150943396226415,0.7345994916565487,True
tedious,105,0.9523809523809523,0.047619047619047616,0.735713984825924,True
working,104,0.25,0.75,0.7368445140208464,True
shallow,104,0.9807692307692307,0.019230769230769232,0.7368445140208464,True
epic,103,0.1941747572815534,0.8058252427184466,0.7379914675280544,True
considerable,103,0.20388349514563106,0.7961165048543689,0.7379914675280544,True
provocative,103,0.1941747572815534,0.8058252427184466,0.7379914675280544,True
falls,103,0.912621359223301,0.08737864077669903,0.7379914675280544,True
sensitive,101,0.07920792079207921,0.9207920792079208,0.7403362676731317,True
watchable,101,0.22772277227722773,0.7722772277227723,0.7403362676731317,True
endearing,101,0.2079207920792079,0.7920792079207921,0.7403362676731317,True
hackneyed,101,0.8316831683168316,0.16831683168316833,0.7403362676731317,True
greatest,100,0.2,0.8,0.7415349597359391,True
highly,100,0.18,0.82,0.7415349597359391,True
colorful,100,0.07,0.93,0.7415349597359391,True
help,99,0.20202020202020202,0.797979797979798,0.74275176824173,True
difficult,99,0.7777777777777778,0.2222222222222222,0.74275176824173,True
loud,99,0.9696969696969697,0.030303030303030304,0.74275176824173,True
delivers,98,0.061224489795918366,0.9387755102040817,0.7439871541755746,True
witty,98,0.04081632653061224,0.9591836734693877,0.7439871541755746,True
adaptation,97,0.23711340206185566,0.7628865979381443,0.7452415951135889,True
sharp,97,0.14432989690721648,0.8556701030927835,0.7452415951135889,True
relationships,97,0.23711340206185566,0.7628865979381443,0.7452415951135889,True
themes,97,0.17525773195876287,0.8247422680412371,0.7452415951135889,True
throughout,96,0.19791666666666666,0.8020833333333334,0.7465155859986379,True
masterpiece,96,0.22916666666666666,0.7708333333333334,0.7465155859986379,True
emotions,96,0.21875,0.78125,0.7465155859986379,True
cliché,96,0.9375,0.0625,0.7465155859986379,True
skill,96,0.23958333333333334,0.7604166666666666,0.7465155859986379,True
poorly,95,1.0,0.0,0.7478096399608328,True
touch,95,0.21052631578947367,0.7894736842105263,0.7478096399608328,True
gone,95,0.8315789473684211,0.16842105263157894,0.7478096399608328,True
tries,95,0.8315789473684211,0.16842105263157894,0.7478096399608328,True
successful,95,0.12631578947368421,0.8736842105263158,0.7478096399608328,True
heartfelt,95,0.031578947368421054,0.968421052631579,0.7478096399608328,True
animated,94,0.22340425531914893,0.776595744680851,0.7491242891859098,True
comingofage,94,0.14893617021276595,0.851063829787234,0.7491242891859098,True
drag,94,0.925531914893617,0.07446808510638298,0.7491242891859098,True
pointless,93,1.0,0.0,0.750460085834827,True
mindless,93,0.8494623655913979,0.15053763440860216,0.750460085834827,True
subtle,91,0.12087912087912088,0.8791208791208791,0.753197435829424,True
whether,91,0.7582417582417582,0.24175824175824176,0.753197435829424,True
captures,91,0.02197802197802198,0.978021978021978,0.753197435829424,True
unexpected,91,0.04395604395604396,0.9560439560439561,0.753197435829424,True
definitely,91,0.24175824175824176,0.7582417582417582,0.753197435829424,True
form,91,0.08791208791208792,0.9120879120879121,0.753197435829424,True
poor,90,0.9777777777777777,0.022222222222222223,0.7546002024408764,True
pure,90,0.15555555555555556,0.8444444444444444,0.7546002024408764,True
complete,90,0.7555555555555555,0.24444444444444444,0.7546002024408764,True
ensemble,90,0.18888888888888888,0.8111111111111111,0.7546002024408764,True
intense,90,0.03333333333333333,0.9666666666666667,0.7546002024408764,True
spielberg,90,0.07777777777777778,0.9222222222222223,0.7546002024408764,True
problem,89,0.797752808988764,0.20224719101123595,0.756026545267517,True
pacing,89,0.797752808988764,0.20224719101123595,0.756026545267517,True
oscar,89,0.2247191011235955,0.7752808988764045,0.756026545267517,True
intimate,89,0.0898876404494382,0.9101123595505618,0.756026545267517,True
depressing,89,0.9662921348314607,0.033707865168539325,0.756026545267517,True
straight,89,0.797752808988764,0.20224719101123595,0.756026545267517,True
lovely,88,0.13636363636363635,0.8636363636363636,0.7574771322031286,True
exciting,88,0.1590909090909091,0.8409090909090909,0.7574771322031286,True
ability,88,0.17045454545454544,0.8295454545454546,0.7574771322031286,True
couple,88,0.23863636363636365,0.7613636363636364,0.7574771322031286,True
forced,88,0.8068181818181818,0.19318181818181818,0.7574771322031286,True
starts,87,0.7931034482758621,0.20689655172413793,0.7589526579344423,True
delicate,87,0.08045977011494253,0.9195402298850575,0.7589526579344423,True
brings,86,0.08139534883720931,0.9186046511627907,0.7604538453390715,True
grace,86,0.03488372093023256,0.9651162790697675,0.7604538453390715,True
mediocre,86,0.9418604651162791,0.05813953488372093,0.7604538453390715,True
sexy,86,0.06976744186046512,0.9302325581395349,0.7604538453390715,True
female,85,0.23529411764705882,0.7647058823529411,0.7619814469736397,True
humanity,85,0.2235294117647059,0.7764705882352941,0.7619814469736397,True
contemporary,85,0.16470588235294117,0.8352941176470589,0.7619814469736397,True
eye,85,0.2,0.8,0.7619814469736397,True
stale,84,0.8928571428571429,0.10714285714285714,0.7635362466590601,True
pleasant,84,0.03571428571428571,0.9642857142857143,0.7635362466590601,True
uneven,84,0.8690476190476191,0.13095238095238096,0.7635362466590601,True
nicely,84,0.07142857142857142,0.9285714285714286,0.7635362466590601,True
generic,84,0.9285714285714286,0.07142857142857142,0.7635362466590601,True
manipulative,84,0.9404761904761905,0.05952380952380952,0.7635362466590601,True
strange,84,0.08333333333333333,0.9166666666666666,0.7635362466590601,True
worthwhile,84,0.047619047619047616,0.9523809523809523,0.7635362466590601,True
vivid,83,0.024096385542168676,0.9759036144578314,0.7651190611705501,True
sophisticated,83,0.12048192771084337,0.8795180722891566,0.7651190611705501,True
failure,83,0.9156626506024096,0.08433734939759036,0.7651190611705501,True
weird,83,0.8192771084337349,0.18072289156626506,0.7651190611705501,True
money,83,0.8554216867469879,0.14457831325301204,0.7651190611705501,True
striking,83,0.024096385542168676,0.9759036144578314,0.7651190611705501,True
playful,83,0.0,1.0,0.7651190611705501,True
painfully,83,0.9518072289156626,0.04819277108433735,0.7651190611705501,True
car,82,0.8780487804878049,0.12195121951219512,0.7667307420406637,True
terrible,82,0.8170731707317073,0.18292682926829268,0.7667307420406637,True
needs,82,0.8170731707317073,0.18292682926829268,0.7667307420406637,True
offensive,82,0.9634146341463414,0.036585365853658534,0.7667307420406637,True
delight,82,0.08536585365853659,0.9146341463414634,0.7667307420406637,True
crafted,82,0.12195121951219512,0.8780487804878049,0.7667307420406637,True
thanks,81,0.1111111111111111,0.8888888888888888,0.7683721774843768,True
urban,81,0.18518518518518517,0.8148148148148148,0.7683721774843768,True
heartwarming,81,0.0,1.0,0.7683721774843768,True
mean,81,0.8765432098765432,0.12345679012345678,0.7683721774843768,True
remarkably,81,0.12345679012345678,0.8765432098765432,0.7683721774843768,True
soul,81,0.09876543209876543,0.9012345679012346,0.7683721774843768,True
casting,80,0.15,0.85,0.7700442944561172,True
supposed,80,0.825,0.175,0.7700442944561172,True
insightful,80,0.2,0.8,0.7700442944561172,True
devoid,80,0.9875,0.0125,0.7700442944561172,True
