,n,p_contradiction,p_entailment,p_neutral,boundary,isArtifact
ready,5023,0.2504479394783994,0.2504479394783994,0.4991041210432013,0.36630717179470595,True
ride,4992,0.304286858974359,0.31310096153846156,0.38261217948717946,0.3664093960503755,True
clothing,4984,0.30296950240770465,0.38362760834670945,0.31340288924558585,0.366435931203233,True
house,4903,0.4327962471955945,0.21802977768713033,0.34917397511727516,0.36670824680829955,True
clothes,4814,0.29289572081429166,0.4113003739094308,0.29580390527627753,0.36701534733921864,True
posing,4780,0.2711297071129707,0.348744769874477,0.3801255230125523,0.36713492466805214,True
drinking,4770,0.41844863731656184,0.27253668763102723,0.3090146750524109,0.36717033755501405,True
not,4765,0.5183630640083945,0.2736621196222455,0.2079748163693599,0.3671880857881892,True
very,4733,0.30466934291147263,0.2708641453623495,0.4244665117261779,0.36730233965425685,True
laying,4729,0.4514696553182491,0.2850496933812645,0.26348065130048637,0.367316702871102,True
no,4684,0.6953458582408198,0.142399658411614,0.16225448334756618,0.3674795547307207,True
ice,4678,0.38584865327062845,0.29350149636596834,0.32064985036340315,0.367501445675205,True
enjoying,4658,0.2606268784886217,0.2913267496779734,0.4480463718334049,0.367574720716134,True
big,4640,0.2821120689655172,0.27607758620689654,0.4418103448275862,0.3676410729123792,True
shopping,4620,0.3177489177489177,0.2878787878787879,0.3943722943722944,0.36771525189536847,True
middle,4588,0.37467306015693114,0.2999128160418483,0.3254141238012206,0.36783494562053265,True
kitchen,4498,0.40151178301467316,0.3045798132503335,0.29390840373499333,0.3681784055978329,True
book,4471,0.3782151643927533,0.2968016103779915,0.3249832252292552,0.3682834604898948,True
worker,4361,0.30314148131162577,0.32217381334556294,0.3746847053428113,0.36872149900228113,True
away,4251,0.4206069160197601,0.24888261585509291,0.330510468125147,0.36917643157526436,True
market,4198,0.29394949976179136,0.3334921391138637,0.37255836112434493,0.36940198253447815,True
get,4089,0.23281976033259966,0.2186353631694791,0.5485448764979213,0.36987955969146397,True
couch,4088,0.5880626223091977,0.2071917808219178,0.20474559686888455,0.3698840293577631,True
towards,4054,0.3063640848544647,0.321657622101628,0.3719782930439072,0.37003698063085283,True
tall,3928,0.1939918533604888,0.18228105906313646,0.6237270875763747,0.37062101270357756,True
jump,3883,0.30723667267576615,0.31676538758691736,0.3759979397373165,0.37083645335774873,True
bed,3861,0.6102046102046103,0.18777518777518779,0.20202020202020202,0.37094314808264794,True
driving,3844,0.5616545265348595,0.2169614984391259,0.22138397502601456,0.37102622059998863,True
high,3816,0.31472746331236895,0.30424528301886794,0.3810272536687631,0.371164254130646,True
event,3788,0.26874340021119325,0.34424498416050686,0.3870116156282999,0.371303815313736,True
just,3758,0.25199574241617884,0.1804151144225652,0.567589143161256,0.3714550726460277,True
cat,3707,0.7251146479633126,0.11491772322632857,0.15996762881035878,0.37171641164320995,True
fire,3701,0.390705214806809,0.28100513374763575,0.3282896514455553,0.3717475120493738,True
stick,3670,0.3008174386920981,0.3220708446866485,0.3771117166212534,0.37190941060380706,True
photo,3664,0.27347161572052403,0.34443231441048033,0.38209606986899564,0.3719409828998604,True
night,3633,0.3214973850812001,0.2931461601981833,0.3853564547206166,0.3721053504818566,True
party,3587,0.26233621410649566,0.21243378868134932,0.525229997212155,0.3723531663698883,True
school,3583,0.31900641920178624,0.18364499023164946,0.49734859056656433,0.37237494083198286,True
fishing,3533,0.32295499575431647,0.30370789697141237,0.37333710727427116,0.3726502340987019,True
bar,3514,0.42686397268070575,0.2546955036994878,0.3184405236198065,0.3727563829404751,True
adults,3484,0.3811710677382319,0.31802525832376577,0.3008036739380023,0.37292575096765074,True
like,3482,0.3256748994830557,0.29437105112004597,0.3799540493968983,0.3729371199320299,True
cooking,3477,0.3747483462755249,0.3183779119930975,0.3068737417313776,0.37296558524627677,True
catch,3472,0.2963709677419355,0.2638248847926267,0.4398041474654378,0.37299411202742155,True
preparing,3458,0.2651821862348178,0.29872758820127243,0.43609022556390975,0.37307431590851586,True
mother,3382,0.2761679479597871,0.1995860437610881,0.5242460082791248,0.3735183630155264,True
new,3376,0.22511848341232227,0.15136255924170616,0.6235189573459715,0.3735540566092537,True
body,3347,0.30953092321481923,0.37675530325664774,0.313713773528533,0.3737279265373305,True
trick,3320,0.258433734939759,0.33825301204819275,0.4033132530120482,0.3738918490589408,True
hard,3316,0.3106151990349819,0.310313630880579,0.3790711700844391,0.3739163039997975,True
selling,3273,0.30339138405132904,0.30308585395661475,0.3935227619920562,0.3741820194744946,True
racing,3269,0.288161517283573,0.3071275619455491,0.40471092077087795,0.3742070033827271,True
alone,3256,0.6858108108108109,0.14312039312039312,0.17106879606879608,0.37428851879861463,True
concert,3122,0.3058936579115951,0.2238949391415759,0.47021140294682895,0.3751582077590502,True
animal,3070,0.19022801302931597,0.5612377850162866,0.2485342019543974,0.3755109375643424,True
pictures,2971,0.2857623695725345,0.30865028609895656,0.4055873443285089,0.37620790251956104,True
gathered,2967,0.296932928884395,0.38591169531513314,0.3171553758004719,0.37623679374196783,True
take,2944,0.28566576086956524,0.2673233695652174,0.4470108695652174,0.3764040593291763,True
fish,2904,0.3305785123966942,0.27479338842975204,0.39462809917355374,0.37669967519397274,True
asleep,2880,0.6927083333333334,0.15034722222222222,0.15694444444444444,0.37687999340151335,True
what,2857,0.29926496324816243,0.30836541827091357,0.39236961848092405,0.3770549261085527,True
sunny,2826,0.3308563340410474,0.2724699221514508,0.39667374380750176,0.37729407555472816,True
practicing,2776,0.2546829971181556,0.25324207492795386,0.4920749279538905,0.37768820879559706,True
time,2771,0.22663298448213642,0.24828581739444244,0.5250811981234211,0.3777282077896235,True
instrument,2744,0.22376093294460642,0.5244169096209913,0.25182215743440234,0.37794608815143194,True
frisbee,2727,0.3193986065273194,0.2992299229922992,0.3813714704803814,0.37808492909705116,True
instruments,2693,0.2959524693650204,0.4147790568139621,0.28926847382101745,0.37836654473135634,True
empty,2667,0.6070491188601425,0.1803524559430071,0.2125984251968504,0.3785855218027428,True
dinner,2645,0.4680529300567108,0.12816635160680528,0.40378071833648393,0.37877332644795597,True
go,2641,0.3116243847027641,0.18439984854221886,0.503975766755017,0.37880772463086443,True
parade,2633,0.2726927459172047,0.2818078237751614,0.4454994303076339,0.3788767560046413,True
throwing,2633,0.43220660843144704,0.2707937713634637,0.29699962020508924,0.3788767560046413,True
rain,2613,0.33983926521239954,0.23383084577114427,0.4263298890164562,0.3790507192914158,True
show,2610,0.2628352490421456,0.23295019157088123,0.5042145593869731,0.3790769861053945,True
competition,2594,0.17656129529683887,0.19275250578257516,0.630686198920586,0.3792178444919738,True
audience,2554,0.2897415818324197,0.30618637431480034,0.40407204385277995,0.3795757634188642,True
vehicle,2554,0.2572435395458105,0.46280344557556774,0.2799530148786218,0.3795757634188642,True
beer,2498,0.38470776621297037,0.2790232185748599,0.33626901521216973,0.38009122044095695,True
performs,2483,0.2666129681836488,0.34756343133306483,0.38582360048328634,0.38023224183417303,True
human,2438,0.05947497949138638,0.566447908121411,0.37407711238720265,0.38066308703308094,True
equipment,2412,0.2898009950248756,0.39344941956882257,0.3167495854063018,0.38091749730003865,True
break,2405,0.32182952182952185,0.1787941787941788,0.4993762993762994,0.38098669628700144,True
can,2395,0.27265135699373694,0.31022964509394574,0.4171189979123173,0.38108607775668846,True
indoors,2386,0.4966471081307628,0.3704945515507125,0.13285834031852473,0.3811760547442127,True
students,2382,0.3060453400503778,0.29429051217464314,0.399664147774979,0.3812162081053812,True
nobody,2380,0.9941176470588236,0.0008403361344537816,0.005042016806722689,0.3812363227354522,True
giving,2360,0.2940677966101695,0.2944915254237288,0.4114406779661017,0.3814388732769489,True
chasing,2356,0.3637521222410866,0.183786078098472,0.4524617996604414,0.3814796925799605,True
object,2348,0.2785349233390119,0.4190800681431005,0.3023850085178876,0.3815616438890497,True
wedding,2320,0.25301724137931036,0.2620689655172414,0.4849137931034483,0.3818518039403842,True
art,2316,0.2646804835924007,0.35233160621761656,0.38298791018998274,0.3818936843716667,True
before,2304,0.25390625,0.2092013888888889,0.5368923611111112,0.38201997938609644,True
wet,2299,0.22009569377990432,0.4684645498042627,0.311439756415833,0.3820728939175847,True
make,2299,0.25228360156589824,0.2779469334493258,0.469769464984776,0.3820728939175847,True
cream,2284,0.3997373029772329,0.26532399299474607,0.334938704028021,0.3822326787214109,True
son,2279,0.2904782799473453,0.18560772268538833,0.5239139973672663,0.3822862905622997,True
happy,2272,0.2011443661971831,0.31778169014084506,0.4810739436619718,0.3823616442518948,True
father,2263,0.27132125497127707,0.1992929739284136,0.5293857711003094,0.38245904083796023,True
hot,2234,0.4243509400179051,0.19561324977618622,0.3800358102059087,0.3827768680275392,True
fighting,2199,0.4552069122328331,0.25056844020009095,0.29422464756707595,0.3831687943757703,True
flying,2196,0.5068306010928961,0.25045537340619306,0.24271402550091076,0.3832028233732776,True
coffee,2193,0.4058367533059736,0.2498860009119927,0.3442772457820337,0.3832369221738703,True
lunch,2185,0.4745995423340961,0.09794050343249427,0.4274599542334096,0.38332819538930124,True
showing,2167,0.2533456391324412,0.3137978772496539,0.43285648361790496,0.38353540500791433,True
wears,2161,0.2966219342896807,0.4113836186950486,0.2919944470152707,0.38360504953389635,True
swim,2155,0.34849187935034803,0.2357308584686775,0.4157772621809745,0.3836749847166083,True
fun,2145,0.17342657342657342,0.2778554778554779,0.5487179487179488,0.38379219477371834,True
friend,2136,0.21254681647940074,0.1540262172284644,0.6334269662921348,0.383898386812833,True
lying,2102,0.41294005708848713,0.31351094196003804,0.2735490009514748,0.38430569304216206,True
way,2095,0.24343675417661098,0.22195704057279236,0.5346062052505967,0.38439077871434657,True
tv,2078,0.78055822906641,0.08373435996150144,0.13570741097208855,0.3845992023378483,True
animals,2045,0.25036674816625915,0.5183374083129584,0.2312958435207824,0.3850111835582391,True
eat,2011,0.4157135753356539,0.22874191944306316,0.35554450522128295,0.3854462115119419,True
cake,2002,0.39760239760239763,0.2792207792207792,0.32317682317682317,0.38556321699878976,True
teams,1977,0.3024785027819929,0.30450177035913,0.3930197268588771,0.38589241402863733,True
eats,1968,0.6509146341463414,0.17682926829268292,0.1722560975609756,0.3860124577648263,True
class,1950,0.32256410256410256,0.22256410256410256,0.45487179487179485,0.3862550336806008,True
perform,1947,0.2665639445300462,0.31689779147406266,0.4165382639958911,0.3862957897130929,True
gets,1921,0.293076522644456,0.30609057782404997,0.40083289953149404,0.3866529983961412,True
match,1915,0.2939947780678851,0.27780678851174934,0.4281984334203655,0.3867364625720348,True
competing,1908,0.18920335429769392,0.2641509433962264,0.5466457023060797,0.3868343346019554,True
made,1884,0.3476645435244161,0.25796178343949044,0.39437367303609344,0.38717402691155434,True
hit,1876,0.302771855010661,0.30756929637526653,0.3896588486140725,0.38728870370511465,True
prepares,1870,0.2802139037433155,0.2914438502673797,0.4283422459893048,0.38737519380130186,True
place,1867,0.26245313336904125,0.3352972683449384,0.40224959828602036,0.38741859511505783,True
video,1852,0.4811015118790497,0.23218142548596113,0.2867170626349892,0.3876371811942336,True
how,1848,0.26406926406926406,0.22564935064935066,0.5102813852813853,0.3876959198245594,True
business,1819,0.34194612424409015,0.2644310060472787,0.39362286970863114,0.3881275528859187,True
church,1800,0.40944444444444444,0.2111111111111111,0.3794444444444444,0.3884159854567542,True
moving,1800,0.19111111111111112,0.55,0.2588888888888889,0.3884159854567542,True
desk,1763,0.39251276233692567,0.3159387407827567,0.29154849688031764,0.3889909927535113,True
first,1748,0.17162471395881007,0.12356979405034325,0.7048054919908466,0.3892292883747679,True
do,1738,0.30724971231300346,0.27042577675489066,0.4223245109321059,0.3893898631239737,True
office,1718,0.47729918509895225,0.21129220023282888,0.31140861466821884,0.38971520845473956,True
waits,1717,0.26965637740244613,0.25684333139196275,0.4735002912055912,0.38973162478209905,True
tries,1713,0.27437244600116756,0.2819614711033275,0.44366608289550497,0.3897974337793395,True
only,1701,0.586713697824809,0.16049382716049382,0.25279247501469726,0.3899962516496025,True
taken,1691,0.2241277350680071,0.37610881135422825,0.39976345357776466,0.3901635473142561,True
marathon,1685,0.3685459940652819,0.2344213649851632,0.39703264094955487,0.3902646387916896,True
crying,1678,0.4970202622169249,0.22228843861740166,0.2806912991656734,0.39038326345914276,True
because,1666,0.24369747899159663,0.03961584633853541,0.7166866746698679,0.3905883567393881,True
skiing,1662,0.42178098676293624,0.29482551143200963,0.2833935018050541,0.3906572142788907,True
cafe,1658,0.4264173703256936,0.26537997587454765,0.30820265379975875,0.39072632085123643,True
daughter,1657,0.28062764031382015,0.17863608931804467,0.5407362703681352,0.39074363658176103,True
see,1640,0.25182926829268293,0.2707317073170732,0.4774390243902439,0.39104042285483376,True
life,1633,0.3104715248009798,0.2878138395590937,0.40171463563992654,0.39116397388375895,True
wait,1632,0.27512254901960786,0.2928921568627451,0.4319852941176471,0.3911816888912354,True
tricks,1617,0.2300556586270872,0.3085961657390229,0.4613481756338899,0.39144938285020003,True
humans,1575,0.0380952380952381,0.6222222222222222,0.3396825396825397,0.39221916539067536,True
gym,1571,0.4201145767027371,0.2609802673456397,0.31890515595162316,0.39229408378236896,True
artist,1554,0.2754182754182754,0.3153153153153153,0.4092664092664093,0.3926157074607351,True
fixing,1554,0.29407979407979407,0.29407979407979407,0.4118404118404118,0.3926157074607351,True
musical,1535,0.2586319218241042,0.43778501628664496,0.3035830618892508,0.39298147326523125,True
desert,1527,0.5003274394237066,0.23968565815324164,0.2599869024230517,0.3931375183714594,True
conversation,1511,0.27332892124420916,0.400397088021178,0.32627399073461283,0.3934533182438856,True
helping,1498,0.260347129506008,0.32376502002670227,0.4158878504672897,0.3937136224766385,True
diving,1486,0.4165545087483176,0.27927321668909827,0.3041722745625841,0.39395692885845957,True
karate,1486,0.2759084791386272,0.32705248990578734,0.39703903095558546,0.39395692885845957,True
sad,1478,0.16170500676589986,0.08322056833558863,0.7550744248985115,0.3941207767127405,True
sleeps,1475,0.5627118644067797,0.21898305084745762,0.2183050847457627,0.3941825630509467,True
picnic,1463,0.3513328776486671,0.2228298017771702,0.4258373205741627,0.39443160595961135,True
classroom,1461,0.3997262149212868,0.30116358658453113,0.2991101984941821,0.39447341114590967,True
christmas,1459,0.2762165867032214,0.2556545579163811,0.46812885538039756,0.3945153022627207,True
cold,1439,0.21195274496177902,0.3071577484364142,0.4808895066018068,0.3949390051710621,True
chinese,1427,0.31394533987386125,0.2908199018920813,0.39523475823405746,0.3951974916427164,True
huge,1413,0.28308563340410475,0.2484076433121019,0.46850672328379334,0.3955032111948174,True
throws,1405,0.44341637010676155,0.2683274021352313,0.28825622775800713,0.3956799560513964,True
town,1400,0.32785714285714285,0.27,0.40214285714285714,0.3957911900786714,True
shows,1381,0.2838522809558291,0.30702389572773353,0.4091238233164374,0.39621937451811473,True
performance,1370,0.24087591240875914,0.30875912408759126,0.45036496350364963,0.396471331984357,True
jogging,1369,0.44558071585098613,0.2702702702702703,0.2841490138787436,0.39649438767205303,True
living,1368,0.5219298245614035,0.20394736842105263,0.2741228070175439,0.39651746863549064,True
plane,1365,0.4981684981684982,0.22197802197802197,0.27985347985347986,0.3965868636430093,True
washing,1361,0.429096252755327,0.26671565025716387,0.3041880969875092,0.39667974699746283,True
owner,1353,0.15003695491500368,0.08795269770879527,0.762010347376201,0.3968667478874084,True
naked,1351,0.7520355292376018,0.11843079200592153,0.12953367875647667,0.3969137574495591,True
part,1343,0.2099776619508563,0.24348473566641846,0.5465376023827252,0.3971028446302076,True
photographer,1333,0.27081770442610653,0.304576144036009,0.42460615153788445,0.39734159316762335,True
money,1327,0.2185380557648832,0.18990203466465713,0.5915599095704597,0.3974861359030621,True
enjoy,1307,0.2739097169089518,0.2754399387911247,0.4506503442999235,0.3979751125096529,True
close,1294,0.25656877897990726,0.41112828438948995,0.3323029366306028,0.398299008593913,True
birthday,1294,0.19242658423493045,0.12982998454404945,0.6777434312210201,0.398299008593913,True
