,n,p_contradiction,p_entailment,p_neutral,boundary,isArtifact,diff
paid,162,0.043209876543209874,0.04938271604938271,0.9074074074074074,0.5561279399084491,True,0.35127946749895833
sad,1478,0.16170500676589986,0.08322056833558863,0.7550744248985115,0.40709402210015294,True,0.34798040279835857
cat,3707,0.7251146479633126,0.11491772322632857,0.15996762881035878,0.37990812141014824,True,0.34520652655316436
quietly,385,0.8207792207792208,0.07272727272727272,0.10649350649350649,0.4778546187693622,True,0.34292460200985864
naked,1351,0.7520355292376018,0.11843079200592153,0.12953367875647667,0.41048308029058167,True,0.3415524489470201
silent,143,0.9090909090909091,0.02097902097902098,0.06993006993006994,0.5704675160626114,True,0.3386233930282977
least,504,0.08333333333333333,0.7936507936507936,0.12301587301587301,0.45964600242852593,True,0.33400479122226767
sisters,618,0.1488673139158576,0.07119741100323625,0.7799352750809061,0.44740241440452705,True,0.33253286067637905
mashed,100,0.94,0.01,0.05,0.6169045721512294,True,0.32309542784877054
alll,68,1.0,0.0,0.0,0.6772139715784616,True,0.32278602842153836
no,4684,0.6953458582408198,0.142399658411614,0.16225448334756618,0.37476703524666044,True,0.3205788229941594
moon,468,0.7841880341880342,0.06623931623931624,0.14957264957264957,0.46441418484676517,True,0.319773849341269
charity,232,0.09482758620689655,0.06896551724137931,0.8362068965517241,0.5195069724872854,True,0.3166999240644387
related,231,0.0735930735930736,0.09090909090909091,0.8354978354978355,0.5199095105554095,True,0.31558832494242606
famous,365,0.11506849315068493,0.08767123287671233,0.7972602739726027,0.48176130348916274,True,0.31549897048343994
because,1666,0.24369747899159663,0.03961584633853541,0.7166866746698679,0.4028077136824442,True,0.3138789609874237
asleep,2880,0.6927083333333334,0.15034722222222222,0.15694444444444444,0.38617371387172017,True,0.3065346194616132
win,730,0.13424657534246576,0.12191780821917808,0.7438356164383562,0.43828775754827476,True,0.3055478588900814
first,1748,0.17162471395881007,0.12356979405034325,0.7048054919908466,0.40115859318843217,True,0.30364689880241447
alone,3256,0.6858108108108109,0.14312039312039312,0.17106879606879608,0.3830291672185822,True,0.30278164359222864
husband,672,0.20089285714285715,0.05505952380952381,0.7440476190476191,0.4427233135895877,True,0.30132430545803135
belongs,103,0.038834951456310676,0.04854368932038835,0.912621359223301,0.6127443773859251,True,0.2998769818373759
best,522,0.15900383141762453,0.08812260536398467,0.7528735632183908,0.45744909276930135,True,0.2954244704490895
aliens,100,0.91,0.02,0.07,0.6169045721512294,True,0.29309542784877063
outdoors,9120,0.1362938596491228,0.6548245614035088,0.20888157894736842,0.36302706374783167,True,0.2917974976556771
final,193,0.12953367875647667,0.05181347150259067,0.8186528497409327,0.5374523774937745,True,0.28120047224715816
boyfriend,219,0.1506849315068493,0.045662100456621,0.8036529680365296,0.5249530188416329,True,0.2786999491948967
fetch,669,0.18086696562032886,0.09865470852017937,0.7204783258594918,0.44296830825314437,True,0.2775100176063474
july,207,0.1497584541062802,0.043478260869565216,0.8067632850241546,0.530428969018508,True,0.2763343160056466
any,409,0.7481662591687042,0.07334963325183375,0.1784841075794621,0.47355028668079086,True,0.2746159724879133
napping,438,0.7397260273972602,0.1141552511415525,0.1461187214611872,0.4688289123650856,True,0.2708971150321746
friends,5505,0.21653042688465032,0.14150772025431427,0.6419618528610355,0.3715527028810295,True,0.270409149980006
silently,136,0.8455882352941176,0.03676470588235294,0.11764705882352941,0.5764936645552214,True,0.2690945707388962
wife,1234,0.23905996758508913,0.07860615883306321,0.6823338735818476,0.4140576914935701,True,0.2682761820882775
upcoming,194,0.1134020618556701,0.08247422680412371,0.8041237113402062,0.5369256177919808,True,0.26719809354822543
birthday,1294,0.19242658423493045,0.12982998454404945,0.6777434312210201,0.41216397148853556,True,0.26557945973248454
jacks,134,0.8432835820895522,0.029850746268656716,0.12686567164179105,0.5783015729511051,True,0.26498200913844716
likes,536,0.1044776119402985,0.17537313432835822,0.7201492537313433,0.45581745314221916,True,0.26433180058912414
movies,173,0.8092485549132948,0.028901734104046242,0.16184971098265896,0.5489285538835891,True,0.26032000102970576
goldfish,129,0.8372093023255814,0.06201550387596899,0.10077519379844961,0.5830038875584298,True,0.25420541476715164
eats,1968,0.6509146341463414,0.17682926829268292,0.1722560975609756,0.3972552271601142,True,0.25365940698622724
plans,138,0.10869565217391304,0.06521739130434782,0.8260869565217391,0.5747252023124161,True,0.25136175420932305
wants,616,0.12337662337662338,0.17857142857142858,0.698051948051948,0.44758744142162626,True,0.25046450663032177
sleep,792,0.6843434343434344,0.11994949494949494,0.19570707070707072,0.43409598542303884,True,0.2502474489203955
tired,736,0.13451086956521738,0.17798913043478262,0.6875,0.43785907873477853,True,0.24964092126522147
owns,153,0.05228758169934641,0.13725490196078433,0.8104575163398693,0.5625870921634188,True,0.24787042417645044
alien,94,0.8723404255319149,0.02127659574468085,0.10638297872340426,0.6258147338780375,True,0.2465256916538774
important,264,0.10984848484848485,0.13636363636363635,0.7537878787878788,0.5078593662580896,True,0.2459285125297892
tall,3928,0.1939918533604888,0.18228105906313646,0.6237270875763747,0.37857894262305186,True,0.24514814495332288
loves,316,0.1518987341772152,0.11075949367088607,0.7373417721518988,0.49285461825564275,True,0.24448715389625603
honeymoon,74,0.08108108108108109,0.013513513513513514,0.9054054054054054,0.662978202615734,True,0.24242720278967134
television,842,0.6733966745843231,0.13182897862232779,0.19477434679334918,0.43105843585703474,True,0.24233823872728832
competition,2594,0.17656129529683887,0.19275250578257516,0.630686198920586,0.389010508727367,True,0.241675690193219
new,3376,0.22511848341232227,0.15136255924170616,0.6235189573459715,0.38213795623900015,True,0.24138100110697136
friend,2136,0.21254681647940074,0.1540262172284644,0.6334269662921348,0.3946899715604063,True,0.2387369947317285
anniversary,87,0.09195402298850575,0.034482758620689655,0.8735632183908046,0.6373536129894815,True,0.23620960540132319
bought,224,0.14732142857142858,0.09375,0.7589285714285714,0.5228023369761222,True,0.23612623445244918
joke,214,0.14018691588785046,0.09813084112149532,0.7616822429906542,0.5271786414981969,True,0.2345036014924573
tournament,581,0.17900172117039587,0.1359724612736661,0.685025817555938,0.4509785067592579,True,0.23404731079668017
won,371,0.14016172506738545,0.14555256064690028,0.7142857142857143,0.48055618500785957,True,0.23372952927785473
bed,3861,0.6102046102046103,0.18777518777518779,0.20202020202020202,0.37896982807760354,True,0.2312347821270067
xbox,59,0.9322033898305084,0.0,0.06779661016949153,0.7025116410051835,True,0.22969174882532495
trip,691,0.18958031837916064,0.14037626628075253,0.6700434153400868,0.44120891657364747,True,0.22883449876643935
halloween,510,0.18823529411764706,0.12549019607843137,0.6862745098039216,0.4589007884374203,True,0.22737372136650125
hungry,316,0.14873417721518986,0.1360759493670886,0.7151898734177216,0.49285461825564275,True,0.2223352551620788
empty,2667,0.6070491188601425,0.1803524559430071,0.2125984251968504,0.3882432358419216,True,0.21880588301822085
movie,1274,0.631083202511774,0.06985871271585557,0.2990580847723705,0.41278032675235155,True,0.21830287575942242
humans,1575,0.0380952380952381,0.6222222222222222,0.3396825396825397,0.40478656922691986,True,0.21743565299530238
dating,67,0.05970149253731343,0.04477611940298507,0.8955223880597015,0.6797707401514481,True,0.2157516479082534
sister,479,0.23799582463465555,0.08350730688935282,0.6784968684759917,0.4629003394661789,True,0.21559652900981274
solid,164,0.7682926829268293,0.10975609756097561,0.12195121951219512,0.554765268981349,True,0.21352741394548025
brother,671,0.21758569299552907,0.12667660208643816,0.6557377049180327,0.4428047958953041,True,0.21293290902272866
lost,662,0.283987915407855,0.06042296072507553,0.6555891238670695,0.4435464251233783,True,0.2120426987436912
expert,66,0.045454545454545456,0.06060606060606061,0.8939393939393939,0.6823853991828459,True,0.21155399475654801
parents,1052,0.22813688212927757,0.1397338403041825,0.6321292775665399,0.42076209166672307,True,0.21136718589981685
couch,4088,0.5880626223091977,0.2071917808219178,0.20474559686888455,0.377684672422253,True,0.2103779498869447
got,867,0.20761245674740483,0.15340253748558247,0.6389850057670127,0.4296391751368321,True,0.20934583063018058
silence,92,0.8369565217391305,0.05434782608695652,0.10869565217391304,0.6289767868610954,True,0.20797973487803512
girlfriend,369,0.2140921409214092,0.0975609756097561,0.6883468834688347,0.4809546237653438,True,0.20739225970349084
4th,116,0.12931034482758622,0.06896551724137931,0.8017241379310345,0.596622618781207,True,0.20510151914982744
for,42282,0.24017312331488577,0.21110638096589565,0.5487204957192185,0.3471239732706631,True,0.20159652244855547
nap,1263,0.6144101346001584,0.13380839271575615,0.2517814726840855,0.41312554541474705,True,0.2012845891854113
talented,90,0.05555555555555555,0.1111111111111111,0.8333333333333334,0.6322436645267016,True,0.20108966880663182
year,298,0.2080536912751678,0.09395973154362416,0.697986577181208,0.4976017414165679,True,0.20038483576464017
cousins,41,0.024390243902439025,0.0,0.975609756097561,0.7761972046293647,True,0.19941255146819625
motel,56,0.9107142857142857,0.017857142857142856,0.07142857142857142,0.7122713406189112,True,0.19844294509537452
married,1093,0.18938700823421775,0.19579139981701738,0.6148215919487648,0.41910662943597077,True,0.19571496251279408
never,319,0.6865203761755486,0.034482758620689655,0.27899686520376177,0.4921027462699473,True,0.1944176299056013
happily,941,0.1944739638682253,0.18703506907545164,0.6184909670563231,0.4257749152453092,True,0.19271605181101392
there,30529,0.24625765665432867,0.5421402600805791,0.2116020832650922,0.3495628613898883,True,0.19257739869069085
planning,171,0.16374269005847952,0.0935672514619883,0.7426900584795322,0.5501856795266398,True,0.1925043789528924
arrive,211,0.18009478672985782,0.0995260663507109,0.7203791469194313,0.5285518249560008,True,0.19182732196343044
everyone,689,0.6328011611030478,0.12917271407837447,0.23802612481857766,0.44136537145388954,True,0.1914357896491583
beds,184,0.7336956521739131,0.14130434782608695,0.125,0.5423848241362238,True,0.19131082803768928
drowning,140,0.7642857142857142,0.014285714285714285,0.22142857142857142,0.5729947723389144,True,0.19129094194679985
buy,799,0.21026282853566958,0.16520650813516896,0.6245306633291614,0.4336536260811657,True,0.1908770372479957
just,3758,0.25199574241617884,0.1804151144225652,0.567589143161256,0.37959100749052704,True,0.18799813567072893
only,1701,0.586713697824809,0.16049382716049382,0.25279247501469726,0.40208924162938664,True,0.18462445619542234
proximity,73,0.0684931506849315,0.8493150684931506,0.0821917808219178,0.665228364364078,True,0.1840867041290727
weekend,91,0.14285714285714285,0.04395604395604396,0.8131868131868132,0.6305967631165836,True,0.18259005007022955
driving,3844,0.5616545265348595,0.2169614984391259,0.22138397502601456,0.3790706299168649,True,0.18258389661799457
about,8293,0.239961413240082,0.2147594356686362,0.5452791510912818,0.36447245424088187,True,0.1808066968503999
thinking,374,0.18181818181818182,0.15775401069518716,0.660427807486631,0.47996453016270507,True,0.18046327732392592
money,1327,0.2185380557648832,0.18990203466465713,0.5915599095704597,0.41117761565213906,True,0.1803822939183206
finished,440,0.20909090909090908,0.1431818181818182,0.6477272727272727,0.468520617132779,True,0.17920665559449372
animal,3070,0.19022801302931597,0.5612377850162866,0.2485342019543974,0.3845124743805365,True,0.17672531063575014
so,1197,0.24979114452798662,0.15873015873015872,0.5914786967418546,0.4152958160831009,True,0.1761828806587537
human,2438,0.05947497949138638,0.566447908121411,0.37407711238720265,0.39076419467533174,True,0.17568371344607925
trying,7079,0.2265856759429298,0.23167113999152422,0.541743184065546,0.3670369280903314,True,0.1747062559752146
mute,37,0.972972972972973,0.02702702702702703,0.0,0.7995215782392107,True,0.17345139473376237
playoff,33,0.0,0.0,1.0,0.8269674988320606,True,0.17303250116793945
completely,336,0.6607142857142857,0.13690476190476192,0.20238095238095238,0.48803412699945337,True,0.17268015871483233
professional,1291,0.21223857474825716,0.2029434546862897,0.5848179705654531,0.41225551087082396,True,0.1725624596946292
coworkers,208,0.14903846153846154,0.14903846153846154,0.7019230769230769,0.5299546106034811,True,0.17196846631959573
outside,38777,0.21303865693581248,0.519276890940506,0.2676844521236816,0.3477337506247612,True,0.1715431403157448
scared,349,0.23782234957020057,0.10601719197707736,0.6561604584527221,0.4851255373649954,True,0.17103492108772667
dont,284,0.6725352112676056,0.07394366197183098,0.2535211267605634,0.5016019058435273,True,0.17093330542407836
get,4089,0.23281976033259966,0.2186353631694791,0.5485448764979213,0.3776792488405649,True,0.17086562765735636
swimming,7996,0.5352676338169085,0.21710855427713857,0.24762381190595298,0.3650454906869566,True,0.17022214312995188
awake,174,0.7183908045977011,0.22988505747126436,0.05172413793103448,0.5483081346964263,True,0.17008266990127485
neighbors,132,0.20454545454545456,0.045454545454545456,0.75,0.5801504160826969,True,0.1698495839173031
theater,680,0.611764705882353,0.14558823529411766,0.2426470588235294,0.4420779393420346,True,0.1696867665403184
after,5101,0.27680846892766126,0.1819251127229955,0.5412664183493433,0.3730373567847922,True,0.16822906156455109
good,1221,0.1769041769041769,0.24078624078624078,0.5823095823095823,0.4144862902406492,True,0.1678232920689331
inside,8843,0.5282144068754947,0.27117494063100755,0.2006106524934977,0.3634885440787087,True,0.16472586279678603
hoping,201,0.16417910447761194,0.13930348258706468,0.6965174129353234,0.5333490634171278,True,0.1631683495181956
last,483,0.2463768115942029,0.12836438923395446,0.6252587991718427,0.4623627147151551,True,0.16289608445668757
shaven,77,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.6564927517639443,True,0.16168906641787395
hated,39,0.9487179487179487,0.0,0.05128205128205128,0.7874107227746447,True,0.16130722594330393
everybody,134,0.7388059701492538,0.09701492537313433,0.16417910447761194,0.5783015729511051,True,0.16050439719814868
find,453,0.22737306843267108,0.1456953642384106,0.6269315673289183,0.46656672370561153,True,0.16036484362330677
song,1085,0.2055299539170507,0.21566820276497695,0.5788018433179724,0.41942226360687107,True,0.15937957971110128
celebrating,1032,0.19476744186046513,0.2248062015503876,0.5804263565891473,0.42160520431091797,True,0.15882115227822935
farmer,327,0.2018348623853211,0.14984709480122324,0.6483180428134556,0.4901485867228932,True,0.15816945609056243
eating,11117,0.5183952505172259,0.22874876315552756,0.25285598632724654,0.3602281369618685,True,0.1581671135553574
champion,52,0.11538461538461539,0.0,0.8846153846153846,0.7265758878736289,True,0.15803949674175566
circus,497,0.30784708249496984,0.0744466800804829,0.6177062374245473,0.4605324179989941,True,0.15717381942555325
reunion,138,0.13768115942028986,0.13043478260869565,0.7318840579710145,0.5747252023124161,True,0.15715885565859844
prize,173,0.13872832369942195,0.15606936416184972,0.7052023121387283,0.5489285538835891,True,0.15627375825513923
going,6404,0.24312929419113055,0.23219862585883821,0.5246720799500312,0.3687686663736956,True,0.15590341357633558
sleeps,1475,0.5627118644067797,0.21898305084745762,0.2183050847457627,0.4071689948677033,True,0.15554286953907637
waiting,8700,0.25724137931034485,0.2247126436781609,0.5180459770114942,0.3637353612989481,True,0.15431061571254612
recess,111,0.24324324324324326,0.0,0.7567567567567568,0.6024872420227807,True,0.1542695147339761
fun,2145,0.17342657342657342,0.2778554778554779,0.5487179487179488,0.39456111603513333,True,0.15415683268281544
zombies,92,0.782608695652174,0.10869565217391304,0.10869565217391304,0.6289767868610954,True,0.15363190879107858
home,5695,0.5232660228270413,0.10992098331870062,0.36681299385425814,0.3709097459666142,True,0.15235627686042708
nervous,126,0.15079365079365079,0.1111111111111111,0.7380952380952381,0.5859586715237186,True,0.15213656657151953
nude,306,0.6470588235294118,0.15359477124183007,0.19934640522875818,0.49544022081459216,True,0.15161860271481964
drunk,347,0.2622478386167147,0.10086455331412104,0.6368876080691642,0.4855623503659588,True,0.15132525770320543
biggest,54,0.05555555555555555,0.07407407407407407,0.8703703703703703,0.7192249115737529,True,0.15114545879661745
homeless,1085,0.22672811059907835,0.20276497695852536,0.5705069124423963,0.41942226360687107,True,0.1510846488355252
stealing,178,0.6966292134831461,0.02247191011235955,0.2808988764044944,0.5458789629151597,True,0.1507502505679864
finals,83,0.13253012048192772,0.07228915662650602,0.7951807228915663,0.6445932051653944,True,0.15058751772617185
moving,1800,0.19111111111111112,0.55,0.2588888888888889,0.40017171530586804,True,0.149828284694132
spaceship,80,0.8,0.0875,0.1125,0.6503756165636546,True,0.14962438343634543
shower,541,0.6044362292051756,0.16081330868761554,0.23475046210720887,0.45525013133460485,True,0.14918609787057074
want,318,0.18553459119496854,0.17295597484276728,0.6415094339622641,0.4923521877637944,True,0.1491572461984697
fireplace,311,0.6430868167202572,0.16720257234726688,0.18971061093247588,0.494131830675495,True,0.14895498604476226
will,999,0.23723723723723725,0.19119119119119118,0.5715715715715716,0.42305130289648246,True,0.1485202686750891
competing,1908,0.18920335429769392,0.2641509433962264,0.5466457023060797,0.3982525088060909,True,0.14839319349998875
rival,96,0.13541666666666666,0.09375,0.7708333333333334,0.622752017013648,True,0.14808131631968535
ignoring,152,0.7105263157894737,0.09868421052631579,0.19078947368421054,0.563339980097583,True,0.14718633569189066
earn,71,0.09859154929577464,0.08450704225352113,0.8169014084507042,0.669870478353721,True,0.1470309300969832
week,93,0.1935483870967742,0.03225806451612903,0.7741935483870968,0.6273830100023567,True,0.14681053838474
master,231,0.23376623376623376,0.09956709956709957,0.6666666666666666,0.5199095105554095,True,0.14675715611125717
single,603,0.5953565505804311,0.19237147595356552,0.21227197346600332,0.4488124689393716,True,0.14654408164105953
basement,272,0.6507352941176471,0.14338235294117646,0.20588235294117646,0.5052736524558975,True,0.14546164166174957
ate,178,0.6910112359550562,0.0898876404494382,0.21910112359550563,0.5458789629151597,True,0.1451322730398965
party,3587,0.26233621410649566,0.21243378868134932,0.525229997212155,0.3806807722176871,True,0.14454922499446793
before,2304,0.25390625,0.2092013888888889,0.5368923611111112,0.3924106747537283,True,0.14448168635738284
annual,87,0.16091954022988506,0.05747126436781609,0.7816091954022989,0.6373536129894815,True,0.14425558241281744
later,95,0.1368421052631579,0.09473684210526316,0.7684210526315789,0.6242712856344639,True,0.14414976699711501
than,758,0.12532981530343007,0.5804749340369393,0.2941952506596306,0.43633104540459766,True,0.14414388863234162
not,4765,0.5183630640083945,0.2736621196222455,0.2079748163693599,0.3744133610540961,True,0.14394970295429838
mother,3382,0.2761679479597871,0.1995860437610881,0.5242460082791248,0.3820946449248286,True,0.14215136335429623
thanksgiving,70,0.15714285714285714,0.02857142857142857,0.8142857142857143,0.6722657907528784,True,0.14201992353283588
years,627,0.2567783094098884,0.1547049441786284,0.5885167464114832,0.4465807776748062,True,0.14193596873667702
way,2095,0.24343675417661098,0.22195704057279236,0.5346062052505967,0.3952874496542316,True,0.13931875559636503
contest,495,0.21616161616161617,0.18383838383838383,0.6,0.4607891268063711,True,0.1392108731936289
gay,220,0.20909090909090908,0.12727272727272726,0.6636363636363637,0.52451702354289,True,0.1391193400934737
treasure,91,0.18681318681318682,0.04395604395604396,0.7692307692307693,0.6305967631165836,True,0.13863400611418564
emptyhanded,36,0.9444444444444444,0.05555555555555555,0.0,0.8059520646964933,True,0.13849237974795114
pro,168,0.16666666666666666,0.14285714285714285,0.6904761904761905,0.5521132938458421,True,0.1383628966303484
time,2771,0.22663298448213642,0.24828581739444244,0.5250811981234211,0.38720295402413835,True,0.1378782440992828
daughter,1657,0.28062764031382015,0.17863608931804467,0.5407362703681352,0.40299613332124273,True,0.13774013704689247
pizza,972,0.5617283950617284,0.15637860082304528,0.28189300411522633,0.42428885059219323,True,0.1374395444695352
wanted,88,0.1590909090909091,0.06818181818181818,0.7727272727272727,0.6356212896024499,True,0.1371059831248228
instrument,2744,0.22376093294460642,0.5244169096209913,0.25182215743440234,0.38746733437413017,True,0.13694957524686113
father,2263,0.27132125497127707,0.1992929739284136,0.5293857711003094,0.392943440622796,True,0.13644233047751336
poker,311,0.6302250803858521,0.08681672025723473,0.2829581993569132,0.494131830675495,True,0.13609324971035713
part,1343,0.2099776619508563,0.24348473566641846,0.5465376023827252,0.41071252242379586,True,0.13582507995892934
meet,526,0.2338403041825095,0.17490494296577946,0.591254752851711,0.4569762691098529,True,0.13427848374185813
son,2279,0.2904782799473453,0.18560772268538833,0.5239139973672663,0.39273382201393553,True,0.13118017535333076
funny,874,0.2036613272311213,0.23684210526315788,0.5594965675057209,0.42925273569189354,True,0.13024383181382732
kittens,89,0.7640449438202247,0.0898876404494382,0.14606741573033707,0.6339182453110803,True,0.13012669850914438
hurt,231,0.17316017316017315,0.1774891774891775,0.6493506493506493,0.5199095105554095,True,0.12944113879523989
taco,81,0.7777777777777778,0.037037037037037035,0.18518518518518517,0.64841248757544,True,0.12936529020233778
sunbathing,282,0.6312056737588653,0.14893617021276595,0.2198581560283688,0.502197548670777,True,0.12900812508808823
none,59,0.8305084745762712,0.03389830508474576,0.13559322033898305,0.7025116410051835,True,0.1279968335710877
baking,364,0.6098901098901099,0.17582417582417584,0.21428571428571427,0.48196504822495845,True,0.1279250616651515
sport,1017,0.19370698131760078,0.5496558505408063,0.25663716814159293,0.4222537940097945,True,0.12740205653101183
heading,472,0.2097457627118644,0.19915254237288135,0.5911016949152542,0.4638575757442027,True,0.1272441191710515
hour,154,0.2077922077922078,0.1038961038961039,0.6883116883116883,0.5618415495099193,True,0.12647013880176905
olympics,565,0.23185840707964603,0.18938053097345134,0.5787610619469027,0.4526326501312318,True,0.12612841181567092
ready,5023,0.2504479394783994,0.2504479394783994,0.4991041210432013,0.37334444255232435,True,0.12575967849087694
dead,652,0.5690184049079755,0.15950920245398773,0.2714723926380368,0.4443884013934072,True,0.12463000351456832
sandbox,139,0.697841726618705,0.050359712230215826,0.2517985611510791,0.573855318874308,True,0.12398640774439706
they,10155,0.2876415558838011,0.22708025603151158,0.48527818808468737,0.36147321174657326,True,0.1238049763381141
crib,254,0.6338582677165354,0.14566929133858267,0.2204724409448819,0.5112617532998414,True,0.12259651441669406
mom,953,0.2570828961175236,0.19517313746065057,0.5477439664218258,0.4251910678345347,True,0.12255289858729107
expensive,187,0.21390374331550802,0.12299465240641712,0.6631016042780749,0.5407011605564296,True,0.12240044372164527
animals,2045,0.25036674816625915,0.5183374083129584,0.2312958435207824,0.39604026118989966,True,0.12229714712305872
robbing,58,0.8275862068965517,0.0,0.1724137931034483,0.7056806116412374,True,0.1219055952553143
boss,189,0.21164021164021163,0.12698412698412698,0.6613756613756614,0.5396010582214934,True,0.12177460315416799
games,1109,0.5401262398557258,0.19116321009918846,0.26871055004508565,0.4184856381297834,True,0.12164060172594243
lions,34,0.9411764705882353,0.0,0.058823529411764705,0.8196539957771096,True,0.12152247481112566
deserted,233,0.6394849785407726,0.15450643776824036,0.20600858369098712,0.5191070286544652,True,0.12037794988630734
popular,140,0.15,0.15714285714285714,0.6928571428571428,0.5729947723389144,True,0.11986237051822846
bedroom,502,0.5796812749003984,0.1752988047808765,0.2450199203187251,0.45989737117286444,True,0.119783903727534
belong,52,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.7265758878736289,True,0.11957795828021722
learning,869,0.2520138089758343,0.19907940161104717,0.5489067894131185,0.4295282875447294,True,0.11937850186838916
doesnt,497,0.579476861167002,0.07645875251509054,0.3440643863179074,0.4605324179989941,True,0.11894444316800795
eve,40,0.075,0.025,0.9,0.7816988301233858,True,0.11830116987661421
monkeys,68,0.7941176470588235,0.07352941176470588,0.1323529411764706,0.6772139715784616,True,0.11690367548036185
school,3583,0.31900641920178624,0.18364499023164946,0.49734859056656433,0.3807071937816209,True,0.11664139678494345
thinks,155,0.12903225806451613,0.1935483870967742,0.6774193548387096,0.561103233472694,True,0.11631612136601566
stayed,57,0.8245614035087719,0.03508771929824561,0.14035087719298245,0.7089326146806556,True,0.11562878882811634
go,2641,0.3116243847027641,0.18439984854221886,0.503975766755017,0.38851286115822065,True,0.11546290559679634
show,2610,0.2628352490421456,0.23295019157088123,0.5042145593869731,0.3888395883689004,True,0.1153749710180727
soon,159,0.16352201257861634,0.16352201257861634,0.6729559748427673,0.5582199539419243,True,0.114736020900843
canine,93,0.11827956989247312,0.7419354838709677,0.13978494623655913,0.6273830100023567,True,0.114552473868611
tour,569,0.2618629173989455,0.17223198594024605,0.5659050966608085,0.4522125808099975,True,0.11369251585081097
flying,2196,0.5068306010928961,0.25045537340619306,0.24271402550091076,0.3938459610949159,True,0.11298463999798025
national,194,0.20618556701030927,0.14432989690721648,0.6494845360824743,0.5369256177919808,True,0.11255891829049347
sharks,80,0.7625,0.025,0.2125,0.6503756165636546,True,0.11212438343634534
living,1368,0.5219298245614035,0.20394736842105263,0.2741228070175439,0.41000221558808325,True,0.11192760897332021
job,973,0.21788283658787255,0.24665981500513876,0.5354573484069887,0.42424209884546077,True,0.1112152495615279
how,1848,0.26406926406926406,0.22564935064935066,0.5102813852813853,0.39929797339412987,True,0.11098341188725547
training,735,0.21496598639455783,0.23673469387755103,0.5482993197278911,0.43793016051477307,True,0.11036915921311807
he,10233,0.2821264536304114,0.24616437017492426,0.47170917619466435,0.36136575991652187,True,0.11034341627814248
hired,39,0.05128205128205128,0.05128205128205128,0.8974358974358975,0.7874107227746447,True,0.11002517466125272
awareness,39,0.07692307692307693,0.02564102564102564,0.8974358974358975,0.7874107227746447,True,0.11002517466125272
potatoes,240,0.625,0.14583333333333334,0.22916666666666666,0.5163777809008528,True,0.10862221909914715
grandfather,159,0.2138364779874214,0.11949685534591195,0.6666666666666666,0.5582199539419243,True,0.10844671272474238
rivals,94,0.1595744680851064,0.10638297872340426,0.7340425531914894,0.6258147338780375,True,0.10822781931345182
break,2405,0.32182952182952185,0.1787941787941788,0.4993762993762994,0.3911568685588427,True,0.10821943081745672
to,114069,0.28411750782421163,0.26595306349665554,0.4499294286791328,0.3417294480421752,True,0.10819998063695763
family,5217,0.290205098715737,0.22925052712286756,0.48054437416139545,0.37259346593594467,True,0.10795090822545078
title,53,0.1320754716981132,0.03773584905660377,0.8301886792452831,0.722848386169879,True,0.10734029307540405
thirsty,84,0.07142857142857142,0.17857142857142858,0.75,0.6427349206655734,True,0.10726507933442664
work,7504,0.2583955223880597,0.2690565031982942,0.47254797441364604,0.36606859130800634,True,0.1064793831056397
told,91,0.1978021978021978,0.06593406593406594,0.7362637362637363,0.6305967631165836,True,0.10566697314715268
