,n,p_0,p_1,boundary
dull,285,0.9122807017543859,0.08771929824561403,0.6430729623391711
young,281,0.27402135231316727,0.7259786476868327,0.6440876769146568
ca,281,0.6619217081850534,0.33807829181494664,0.6440876769146568
keep,280,0.2714285714285714,0.7285714285714285,0.6443447470154127
anything,273,0.663003663003663,0.336996336996337,0.646183607734241
american,272,0.34558823529411764,0.6544117647058824,0.6464520810692038
why,272,0.7242647058823529,0.2757352941176471,0.6464520810692038
smart,271,0.16974169741697417,0.8302583025830258,0.646722039051433
worst,271,0.974169741697417,0.025830258302583026,0.646722039051433
experience,268,0.31343283582089554,0.6865671641791045,0.6475409591178112
comic,268,0.25,0.75,0.6475409591178112
enjoyable,267,0.07865168539325842,0.9213483146067416,0.6478169948298909
cinematic,265,0.3132075471698113,0.6867924528301886,0.6483737463104724
part,264,0.23106060606060605,0.7689393939393939,0.6486544915876492
where,261,0.6666666666666666,0.3333333333333333,0.6495063867658194
beautiful,260,0.07692307692307693,0.9230769230769231,0.6497936231243118
entertainment,260,0.27307692307692305,0.7269230769230769,0.6497936231243118
style,259,0.27413127413127414,0.7258687258687259,0.6500825214122298
history,259,0.22007722007722008,0.7799227799227799,0.6500825214122298
thing,257,0.6926070038910506,0.30739299610894943,0.6506653683488841
clever,256,0.2421875,0.7578125,0.650959349834962
art,256,0.26171875,0.73828125,0.650959349834962
gives,250,0.332,0.668,0.6527601214645258
idea,239,0.7489539748953975,0.2510460251046025,0.6562359774790874
amusing,238,0.22268907563025211,0.7773109243697479,0.6565638602688578
engaging,237,0.11814345991561181,0.8818565400843882,0.6568938160832519
same,236,0.6652542372881356,0.3347457627118644,0.6572258668590952
powerful,236,0.025423728813559324,0.9745762711864406,0.6572258668590952
star,235,0.28936170212765955,0.7106382978723405,0.6575600348595859
intelligent,235,0.1276595744680851,0.8723404255319149,0.6575600348595859
energy,234,0.32051282051282054,0.6794871794871795,0.6578963426805642
charming,232,0.08189655172413793,0.9181034482758621,0.6585754698692143
surprisingly,231,0.22510822510822512,0.7748917748917749,0.6589183361503007
summer,226,0.29646017699115046,0.7035398230088495,0.6606666652853425
charm,223,0.2645739910313901,0.7354260089686099,0.6617437723098025
short,220,0.740909090909091,0.2590909090909091,0.6628428366340349
solid,219,0.0136986301369863,0.9863013698630136,0.6632142004837889
pretty,217,0.31336405529953915,0.6866359447004609,0.6639646145576046
feature,211,0.3033175355450237,0.6966824644549763,0.6662795236581518
silly,210,0.7476190476190476,0.2523809523809524,0.6666749570909138
whose,208,0.2644230769230769,0.7355769230769231,0.6674743619509728
strong,207,0.07246376811594203,0.927536231884058,0.6678784020121282
manages,207,0.23671497584541062,0.7632850241545893,0.6678784020121282
predictable,206,0.8543689320388349,0.14563106796116504,0.6682853805536253
face,206,0.3058252427184466,0.6941747572815534,0.6682853805536253
think,205,0.7073170731707317,0.2926829268292683,0.6686953333670651
enjoy,205,0.28292682926829266,0.7170731707317073,0.6686953333670651
wit,205,0.28780487804878047,0.7121951219512195,0.6686953333670651
offers,204,0.23529411764705882,0.7647058823529411,0.6691082968573714
deeply,202,0.18811881188118812,0.8118811881188119,0.6699434046367366
perfect,202,0.0891089108910891,0.9108910891089109,0.6699434046367366
satisfying,201,0.15422885572139303,0.845771144278607,0.6703656249263277
power,199,0.06532663316582915,0.9346733668341709,0.6712195933092524
fans,199,0.31155778894472363,0.6884422110552764,0.6712195933092524
always,197,0.2233502538071066,0.7766497461928934,0.672086533501342
becomes,196,0.7653061224489796,0.23469387755102042,0.6725249712399565
spirit,195,0.11282051282051282,0.8871794871794871,0.6729667772674215
fresh,194,0.2422680412371134,0.7577319587628866,0.6734119949338243
beautifully,193,0.031088082901554404,0.9689119170984456,0.6738606683743806
true,193,0.3005181347150259,0.6994818652849741,0.6738606683743806
trying,193,0.8186528497409327,0.18134715025906736,0.6738606683743806
quirky,192,0.19791666666666666,0.8020833333333334,0.6743128425278123
half,192,0.6770833333333334,0.3229166666666667,0.6743128425278123
tone,188,0.3191489361702128,0.6808510638297872,0.6761574742416353
portrait,188,0.026595744680851064,0.973404255319149,0.6761574742416353
hilarious,188,0.026595744680851064,0.973404255319149,0.6761574742416353
fine,186,0.1827956989247312,0.8172043010752689,0.677102025110371
rare,185,0.07567567567567568,0.9243243243243243,0.6775800341447016
flat,185,0.9837837837837838,0.016216216216216217,0.6775800341447016
rich,183,0.07650273224043716,0.9234972677595629,0.6785477799159625
hours,182,0.6813186813186813,0.31868131868131866,0.6790376238540314
romance,180,0.3,0.7,0.6800295296374115
touching,178,0.0056179775280898875,0.9943820224719101,0.6810381063224258
study,176,0.17045454545454544,0.8295454545454546,0.6820638261812975
modern,176,0.17045454545454544,0.8295454545454546,0.6820638261812975
remarkable,176,0.03977272727272727,0.9602272727272727,0.6820638261812975
pleasure,174,0.2413793103448276,0.7586206896551724,0.6831071804317246
wonderful,174,0.04597701149425287,0.9540229885057471,0.6831071804317246
boring,173,0.884393063583815,0.11560693641618497,0.6836356293816797
small,172,0.22093023255813954,0.7790697674418605,0.6841686802253697
exercise,171,0.7426900584795322,0.2573099415204678,0.6847064001440568
title,170,0.7294117647058823,0.27058823529411763,0.6852488577001246
instead,170,0.8,0.2,0.6852488577001246
honest,169,0.05325443786982249,0.9467455621301775,0.6857961228737993
culture,168,0.20833333333333334,0.7916666666666666,0.6863482671010719
intriguing,167,0.09580838323353294,0.9041916167664671,0.686905363312867
dumb,167,0.8023952095808383,0.19760479041916168,0.686905363312867
tv,165,0.8545454545454545,0.14545454545454545,0.6880347111325246
video,164,0.725609756097561,0.27439024390243905,0.688607116447873
already,163,0.8466257668711656,0.15337423312883436,0.6891847812505948
lack,160,0.9125,0.0875,0.6909501518306573
stories,159,0.29559748427672955,0.7044025157232704,0.6915496828249545
obvious,158,0.7848101265822784,0.21518987341772153,0.692154896601018
memorable,156,0.28205128205128205,0.717948717948718,0.6933827359095099
images,156,0.21794871794871795,0.782051282051282,0.6933827359095099
french,156,0.16666666666666666,0.8333333333333334,0.6933827359095099
visually,156,0.30128205128205127,0.6987179487179487,0.6933827359095099
terrific,156,0.019230769230769232,0.9807692307692307,0.6933827359095099
adventure,153,0.0915032679738562,0.9084967320261438,0.695269441425605
gentle,151,0.09271523178807947,0.9072847682119205,0.696558362622864
beauty,151,0.09933774834437085,0.9006622516556292,0.696558362622864
mess,149,0.9731543624161074,0.026845637583892617,0.6978731489369625
fails,148,0.8918918918918919,0.10810810810810811,0.6985405138971432
slow,147,0.7619047619047619,0.23809523809523808,0.6992146771746426
ride,147,0.1564625850340136,0.8435374149659864,0.6992146771746426
cold,144,0.75,0.25,0.7012791331132826
head,144,0.75,0.25,0.7012791331132826
reason,144,0.8472222222222222,0.1527777777777778,0.7012791331132826
cliches,144,0.8541666666666666,0.14583333333333334,0.7012791331132826
left,143,0.8391608391608392,0.16083916083916083,0.7019816802165635
jokes,143,0.7552447552447552,0.24475524475524477,0.7019816802165635
gorgeous,143,0.06993006993006994,0.9300699300699301,0.7019816802165635
bland,142,0.8873239436619719,0.11267605633802817,0.7026916355873415
proves,141,0.28368794326241137,0.7163120567375887,0.7034091303463454
low,139,0.8920863309352518,0.1079136690647482,0.704867278978721
run,138,0.7898550724637681,0.21014492753623187,0.7056082118817695
thoughtful,137,0.1386861313868613,0.8613138686131386,0.7063572424567091
above,137,0.26277372262773724,0.7372262773722628,0.7063572424567091
stupid,137,0.9854014598540146,0.014598540145985401,0.7063572424567091
excellent,136,0.051470588235294115,0.9485294117647058,0.7071145192858319
simple,136,0.23529411764705882,0.7647058823529411,0.7071145192858319
contrived,136,0.9632352941176471,0.03676470588235294,0.7071145192858319
ugly,135,0.9851851851851852,0.014814814814814815,0.7078801947964825
debut,135,0.2740740740740741,0.725925925925926,0.7078801947964825
different,135,0.17037037037037037,0.8296296296296296,0.7078801947964825
else,135,0.7555555555555555,0.24444444444444444,0.7078801947964825
tired,135,0.9555555555555556,0.044444444444444446,0.7078801947964825
complex,135,0.17037037037037037,0.8296296296296296,0.7078801947964825
eyes,135,0.14074074074074075,0.8592592592592593,0.7078801947964825
lacks,134,0.8432835820895522,0.15671641791044777,0.7086544253899429
brilliant,133,0.09022556390977443,0.9097744360902256,0.7094373715756397
warmth,132,0.07575757575757576,0.9242424242424242,0.7102291981109307
certainly,131,0.26717557251908397,0.732824427480916,0.7110300741467505
attempt,131,0.732824427480916,0.26717557251908397,0.7110300741467505
wrong,130,0.7538461538461538,0.24615384615384617,0.7118401733794057
violence,130,0.823076923076923,0.17692307692307693,0.7118401733794057
cheap,129,0.7751937984496124,0.2248062015503876,0.7126596742088306
lost,129,0.7131782945736435,0.2868217054263566,0.7126596742088306
genuine,128,0.1640625,0.8359375,0.7134887599036278
soap,128,0.8359375,0.1640625,0.7134887599036278
role,127,0.28346456692913385,0.7165354330708661,0.7143276187732445
plays,127,0.7322834645669292,0.2677165354330709,0.7143276187732445
personal,127,0.1889763779527559,0.8110236220472441,0.7143276187732445
delightful,127,0.10236220472440945,0.8976377952755905,0.7143276187732445
barely,125,0.864,0.136,0.7160354355648938
impressive,125,0.056,0.944,0.7160354355648938
appealing,124,0.07258064516129033,0.9274193548387096,0.7169047969669913
nor,124,0.8870967741935484,0.11290322580645161,0.7169047969669913
seeing,124,0.22580645161290322,0.7741935483870968,0.7169047969669913
gags,123,0.7560975609756098,0.24390243902439024,0.7177847389045171
clichés,122,0.860655737704918,0.13934426229508196,0.7186754777504292
worse,122,0.9918032786885246,0.00819672131147541,0.7186754777504292
surprising,121,0.12396694214876033,0.8760330578512396,0.719577236123581
oldfashioned,121,0.2066115702479339,0.7933884297520661,0.719577236123581
ambitious,120,0.275,0.725,0.7204902431224598
running,120,0.8,0.2,0.7204902431224598
engrossing,120,0.03333333333333333,0.9666666666666667,0.7204902431224598
creative,119,0.07563025210084033,0.9243697478991597,0.7214147345697048
able,118,0.2033898305084746,0.7966101694915254,0.722350953267999
pretentious,118,0.9830508474576272,0.01694915254237288,0.722350953267999
worthy,118,0.11864406779661017,0.8813559322033898,0.722350953267999
psychological,117,0.23931623931623933,0.7606837606837606,0.7232991492679637
decent,117,0.23076923076923078,0.7692307692307693,0.7232991492679637
nice,116,0.06896551724137931,0.9310344827586207,0.724259580148729
warm,116,0.05172413793103448,0.9482758620689655,0.724259580148729
imagine,116,0.75,0.25,0.724259580148729
ends,116,0.7672413793103449,0.23275862068965517,0.724259580148729
perfectly,115,0.008695652173913044,0.991304347826087,0.7252325113118938
none,115,0.8956521739130435,0.10434782608695652,0.7252325113118938
waste,114,0.9385964912280702,0.06140350877192982,0.7262182162896362
sit,113,0.7787610619469026,0.22123893805309736,0.7272169770677899
deep,113,0.23008849557522124,0.7699115044247787,0.7272169770677899
unfunny,112,1.0,0.0,0.7282290844247479
inventive,112,0.026785714285714284,0.9732142857142857,0.7282290844247479
journey,112,0.1875,0.8125,0.7282290844247479
job,112,0.17857142857142858,0.8214285714285714,0.7282290844247479
winning,111,0.17117117117117117,0.8288288288288288,0.7292548382871245
try,111,0.7297297297297297,0.2702702702702703,0.7292548382871245
cool,111,0.10810810810810811,0.8918918918918919,0.7292548382871245
painful,111,0.7297297297297297,0.2702702702702703,0.7292548382871245
unique,110,0.00909090909090909,0.990909090909091,0.7302945481031584
convincing,110,0.20909090909090908,0.7909090909090909,0.7302945481031584
neither,109,0.8990825688073395,0.10091743119266056,0.7313485332349149
bring,109,0.22018348623853212,0.7798165137614679,0.7313485332349149
stylish,108,0.1111111111111111,0.8888888888888888,0.7324171233704164
thin,107,0.9065420560747663,0.09345794392523364,0.7335006589569074
master,107,0.2336448598130841,0.7663551401869159,0.7335006589569074
believable,107,0.19626168224299065,0.8037383177570093,0.7335006589569074
knows,107,0.1588785046728972,0.8411214953271028,0.7335006589569074
success,107,0.18691588785046728,0.8130841121495327,0.7335006589569074
artist,106,0.1509433962264151,0.8490566037735849,0.7345994916565487
awful,106,0.8584905660377359,0.14150943396226415,0.7345994916565487
lacking,106,0.8962264150943396,0.10377358490566038,0.7345994916565487
tedious,105,0.9523809523809523,0.047619047619047616,0.735713984825924
working,104,0.25,0.75,0.7368445140208464
shallow,104,0.9807692307692307,0.019230769230769232,0.7368445140208464
considerable,103,0.20388349514563106,0.7961165048543689,0.7379914675280544
epic,103,0.1941747572815534,0.8058252427184466,0.7379914675280544
falls,103,0.912621359223301,0.08737864077669903,0.7379914675280544
provocative,103,0.1941747572815534,0.8058252427184466,0.7379914675280544
endearing,101,0.2079207920792079,0.7920792079207921,0.7403362676731317
sensitive,101,0.07920792079207921,0.9207920792079208,0.7403362676731317
hackneyed,101,0.8316831683168316,0.16831683168316833,0.7403362676731317
watchable,101,0.22772277227722773,0.7722772277227723,0.7403362676731317
highly,100,0.18,0.82,0.7415349597359391
colorful,100,0.07,0.93,0.7415349597359391
greatest,100,0.2,0.8,0.7415349597359391
loud,99,0.9696969696969697,0.030303030303030304,0.74275176824173
help,99,0.20202020202020202,0.797979797979798,0.74275176824173
difficult,99,0.7777777777777778,0.2222222222222222,0.74275176824173
delivers,98,0.061224489795918366,0.9387755102040817,0.7439871541755746
witty,98,0.04081632653061224,0.9591836734693877,0.7439871541755746
adaptation,97,0.23711340206185566,0.7628865979381443,0.7452415951135889
relationships,97,0.23711340206185566,0.7628865979381443,0.7452415951135889
themes,97,0.17525773195876287,0.8247422680412371,0.7452415951135889
sharp,97,0.14432989690721648,0.8556701030927835,0.7452415951135889
masterpiece,96,0.22916666666666666,0.7708333333333334,0.7465155859986379
cliché,96,0.9375,0.0625,0.7465155859986379
skill,96,0.23958333333333334,0.7604166666666666,0.7465155859986379
emotions,96,0.21875,0.78125,0.7465155859986379
throughout,96,0.19791666666666666,0.8020833333333334,0.7465155859986379
successful,95,0.12631578947368421,0.8736842105263158,0.7478096399608328
heartfelt,95,0.031578947368421054,0.968421052631579,0.7478096399608328
poorly,95,1.0,0.0,0.7478096399608328
touch,95,0.21052631578947367,0.7894736842105263,0.7478096399608328
gone,95,0.8315789473684211,0.16842105263157894,0.7478096399608328
tries,95,0.8315789473684211,0.16842105263157894,0.7478096399608328
comingofage,94,0.14893617021276595,0.851063829787234,0.7491242891859098
animated,94,0.22340425531914893,0.776595744680851,0.7491242891859098
drag,94,0.925531914893617,0.07446808510638298,0.7491242891859098
pointless,93,1.0,0.0,0.750460085834827
mindless,93,0.8494623655913979,0.15053763440860216,0.750460085834827
captures,91,0.02197802197802198,0.978021978021978,0.753197435829424
unexpected,91,0.04395604395604396,0.9560439560439561,0.753197435829424
form,91,0.08791208791208792,0.9120879120879121,0.753197435829424
subtle,91,0.12087912087912088,0.8791208791208791,0.753197435829424
definitely,91,0.24175824175824176,0.7582417582417582,0.753197435829424
whether,91,0.7582417582417582,0.24175824175824176,0.753197435829424
complete,90,0.7555555555555555,0.24444444444444444,0.7546002024408764
poor,90,0.9777777777777777,0.022222222222222223,0.7546002024408764
spielberg,90,0.07777777777777778,0.9222222222222223,0.7546002024408764
intense,90,0.03333333333333333,0.9666666666666667,0.7546002024408764
pure,90,0.15555555555555556,0.8444444444444444,0.7546002024408764
ensemble,90,0.18888888888888888,0.8111111111111111,0.7546002024408764
straight,89,0.797752808988764,0.20224719101123595,0.756026545267517
oscar,89,0.2247191011235955,0.7752808988764045,0.756026545267517
problem,89,0.797752808988764,0.20224719101123595,0.756026545267517
depressing,89,0.9662921348314607,0.033707865168539325,0.756026545267517
intimate,89,0.0898876404494382,0.9101123595505618,0.756026545267517
pacing,89,0.797752808988764,0.20224719101123595,0.756026545267517
lovely,88,0.13636363636363635,0.8636363636363636,0.7574771322031286
exciting,88,0.1590909090909091,0.8409090909090909,0.7574771322031286
forced,88,0.8068181818181818,0.19318181818181818,0.7574771322031286
couple,88,0.23863636363636365,0.7613636363636364,0.7574771322031286
ability,88,0.17045454545454544,0.8295454545454546,0.7574771322031286
starts,87,0.7931034482758621,0.20689655172413793,0.7589526579344423
delicate,87,0.08045977011494253,0.9195402298850575,0.7589526579344423
grace,86,0.03488372093023256,0.9651162790697675,0.7604538453390715
sexy,86,0.06976744186046512,0.9302325581395349,0.7604538453390715
brings,86,0.08139534883720931,0.9186046511627907,0.7604538453390715
mediocre,86,0.9418604651162791,0.05813953488372093,0.7604538453390715
eye,85,0.2,0.8,0.7619814469736397
humanity,85,0.2235294117647059,0.7764705882352941,0.7619814469736397
contemporary,85,0.16470588235294117,0.8352941176470589,0.7619814469736397
female,85,0.23529411764705882,0.7647058823529411,0.7619814469736397
generic,84,0.9285714285714286,0.07142857142857142,0.7635362466590601
stale,84,0.8928571428571429,0.10714285714285714,0.7635362466590601
uneven,84,0.8690476190476191,0.13095238095238096,0.7635362466590601
worthwhile,84,0.047619047619047616,0.9523809523809523,0.7635362466590601
nicely,84,0.07142857142857142,0.9285714285714286,0.7635362466590601
manipulative,84,0.9404761904761905,0.05952380952380952,0.7635362466590601
pleasant,84,0.03571428571428571,0.9642857142857143,0.7635362466590601
strange,84,0.08333333333333333,0.9166666666666666,0.7635362466590601
sophisticated,83,0.12048192771084337,0.8795180722891566,0.7651190611705501
weird,83,0.8192771084337349,0.18072289156626506,0.7651190611705501
money,83,0.8554216867469879,0.14457831325301204,0.7651190611705501
painfully,83,0.9518072289156626,0.04819277108433735,0.7651190611705501
playful,83,0.0,1.0,0.7651190611705501
failure,83,0.9156626506024096,0.08433734939759036,0.7651190611705501
striking,83,0.024096385542168676,0.9759036144578314,0.7651190611705501
vivid,83,0.024096385542168676,0.9759036144578314,0.7651190611705501
crafted,82,0.12195121951219512,0.8780487804878049,0.7667307420406637
car,82,0.8780487804878049,0.12195121951219512,0.7667307420406637
terrible,82,0.8170731707317073,0.18292682926829268,0.7667307420406637
delight,82,0.08536585365853659,0.9146341463414634,0.7667307420406637
offensive,82,0.9634146341463414,0.036585365853658534,0.7667307420406637
needs,82,0.8170731707317073,0.18292682926829268,0.7667307420406637
mean,81,0.8765432098765432,0.12345679012345678,0.7683721774843768
soul,81,0.09876543209876543,0.9012345679012346,0.7683721774843768
thanks,81,0.1111111111111111,0.8888888888888888,0.7683721774843768
remarkably,81,0.12345679012345678,0.8765432098765432,0.7683721774843768
urban,81,0.18518518518518517,0.8148148148148148,0.7683721774843768
heartwarming,81,0.0,1.0,0.7683721774843768
clarity,80,0.075,0.925,0.7700442944561172
insightful,80,0.2,0.8,0.7700442944561172
inspiring,80,0.15,0.85,0.7700442944561172
casting,80,0.15,0.85,0.7700442944561172
supposed,80,0.825,0.175,0.7700442944561172
devoid,80,0.9875,0.0125,0.7700442944561172
imaginative,79,0.08860759493670886,0.9113924050632911,0.7717480608495594
energetic,78,0.038461538461538464,0.9615384615384616,0.7734844878520435
quiet,78,0.14102564102564102,0.8589743589743589,0.7734844878520435
smile,77,0.22077922077922077,0.7792207792207793,0.7752546324666305
genuinely,77,0.07792207792207792,0.922077922077922,0.7752546324666305
dead,77,0.8441558441558441,0.15584415584415584,0.7752546324666305
refreshing,77,0.025974025974025976,0.974025974025974,0.7752546324666305
funniest,77,0.18181818181818182,0.8181818181818182,0.7752546324666305
respect,77,0.06493506493506493,0.935064935064935,0.7752546324666305
chilling,77,0.06493506493506493,0.935064935064935,0.7752546324666305
dog,77,0.7792207792207793,0.22077922077922077,0.7752546324666305
sincere,76,0.18421052631578946,0.8157894736842105,0.7770596002160852
school,76,0.8421052631578947,0.15789473684210525,0.7770596002160852
product,76,0.881578947368421,0.11842105263157894,0.7770596002160852
extraordinary,76,0.013157894736842105,0.9868421052631579,0.7770596002160852
tiresome,76,1.0,0.0,0.7770596002160852
sloppy,76,0.881578947368421,0.11842105263157894,0.7770596002160852
empty,76,0.9473684210526315,0.05263157894736842,0.7770596002160852
wasted,75,0.92,0.08,0.7789005480444997
share,75,0.16,0.84,0.7789005480444997
treat,75,0.013333333333333334,0.9866666666666667,0.7789005480444997
meditation,75,0.06666666666666667,0.9333333333333333,0.7789005480444997
mix,75,0.2,0.8,0.7789005480444997
gripping,74,0.13513513513513514,0.8648648648648649,0.7807786874338638
originality,74,0.04054054054054054,0.9594594594594594,0.7807786874338638
effective,74,0.1891891891891892,0.8108108108108109,0.7807786874338638
wonderfully,74,0.0,1.0,0.7807786874338638
