,0,1,n,p_0,p_1,boundary,isArtifact
of,7784,10123,17907,0.4346903445579941,0.565309655442006,0.51804964158875,True
hollywood,202,198,400,0.505,0.495,0.6207674798679695,False
blockbusters,8,11,19,0.42105263157894735,0.5789473684210527,1.0541192004321704,False
as,2601,2488,5089,0.5111023776773433,0.4888976223226567,0.5338581928188696,False
patriot,0,9,9,0.0,1.0,1.3051165324531304,False
games,9,39,48,0.1875,0.8125,0.8486256850556246,False
can,477,501,978,0.48773006134969327,0.5122699386503068,0.5772343635273353,False
still,116,325,441,0.26303854875283444,0.7369614512471655,0.6150166474933043,True
turn,74,89,163,0.4539877300613497,0.5460122699386503,0.6891847812505948,False
out,743,539,1282,0.5795631825273011,0.4204368174726989,0.5674583923156327,True
a,9293,12316,21609,0.43005229302605397,0.569947706973946,0.5164309496419006,True
small,38,134,172,0.22093023255813954,0.7790697674418605,0.6841686802253697,True
personal,24,103,127,0.1889763779527559,0.8110236220472441,0.7143276187732445,True
film,1493,2545,4038,0.36973749380881626,0.6302625061911837,0.5380099100678242,True
with,1735,3010,4745,0.3656480505795574,0.6343519494204426,0.5350640349862685,True
an,1565,2568,4133,0.37865956932010647,0.6213404306798935,0.5375705278464075,True
emotional,93,228,321,0.2897196261682243,0.7102803738317757,0.6348116683047256,True
wallop,1,21,22,0.045454545454545456,0.9545454545454546,1.0149542644062572,False
saucy,0,9,9,0.0,1.0,1.3051165324531304,False
depressed,17,0,17,1.0,0.0,1.085808324276815,False
fifteenyearold,8,0,8,1.0,0.0,1.3539550396145112,False
suicidal,8,0,8,1.0,0.0,1.3539550396145112,False
poetry,35,46,81,0.43209876543209874,0.5679012345679012,0.7683721774843768,False
are,852,960,1812,0.47019867549668876,0.5298013245033113,0.5567415117858913,False
more,1081,1043,2124,0.5089453860640302,0.4910546139359699,0.5524086222863651,False
deeply,38,164,202,0.18811881188118812,0.8118811881188119,0.6699434046367366,True
thought,33,54,87,0.3793103448275862,0.6206896551724138,0.7589526579344423,False
through,394,256,650,0.6061538461538462,0.39384615384615385,0.5947378056083386,True
than,1079,915,1994,0.541123370110331,0.458876629889669,0.5540900549163582,False
in,3525,3970,7495,0.4703135423615744,0.5296864576384256,0.5278993561403111,True
most,513,1003,1516,0.33839050131926124,0.6616094986807388,0.5620340875602718,True
rightthinking,0,9,9,0.0,1.0,1.3051165324531304,False
films,194,350,544,0.35661764705882354,0.6433823529411765,0.603557259642916,True
goes,126,76,202,0.6237623762376238,0.37623762376237624,0.6699434046367366,False
absurd,43,6,49,0.8775510204081632,0.12244897959183673,0.8450499424799129,True
lengths,8,5,13,0.6153846153846154,0.38461538461538464,1.169897447803891,False
for,1882,2031,3913,0.4809608995655507,0.5190391004344492,0.5386122469758686,False
those,174,227,401,0.4339152119700748,0.5660847880299252,0.6206168029785176,False
moviegoers,36,16,52,0.6923076923076923,0.3076923076923077,0.8349487239019455,False
who,532,739,1271,0.41856805664830843,0.5814319433516916,0.5677496762280387,True
complain,3,3,6,0.5,0.5,1.4860623439945513,False
they,366,296,662,0.552870090634441,0.4471299093655589,0.5938752279633581,False
do,429,237,666,0.6441441441441441,0.35585585585585583,0.5935928958112879,True
nt,1670,641,2311,0.7226308957161403,0.2773691042838598,0.5502435163766447,True
make,319,452,771,0.41374837872892345,0.5862516212710766,0.5869866909737824,False
movies,280,402,682,0.41055718475073316,0.5894428152492669,0.5924885161886615,False
like,1119,663,1782,0.6279461279461279,0.3720538720538721,0.5572171404895842,True
used,42,25,67,0.6268656716417911,0.373134328358209,0.7950819182356224,False
anymore,5,5,10,0.5,0.5,1.263800607322629,False
part,61,203,264,0.23106060606060605,0.7689393939393939,0.6486544915876492,True
where,174,87,261,0.6666666666666666,0.3333333333333333,0.6495063867658194,True
nothing,375,127,502,0.7470119521912351,0.25298804780876494,0.6078023283003684,True
happening,36,4,40,0.9,0.1,0.8819003036613146,True
saw,34,18,52,0.6538461538461539,0.34615384615384615,0.8349487239019455,False
how,318,233,551,0.5771324863883848,0.42286751361161523,0.6028973523146495,False
bad,834,73,907,0.9195148842337376,0.0804851157662624,0.5802003670354295,True
this,1691,1674,3365,0.5025260029717682,0.4974739970282318,0.5416377703057801,False
movie,1892,1671,3563,0.5310131911310694,0.4689868088689307,0.5404643052490499,False
was,429,212,641,0.6692667706708268,0.33073322932917315,0.5954005733086527,True
lend,5,3,8,0.625,0.375,1.3539550396145112,False
some,351,558,909,0.38613861386138615,0.6138613861386139,0.5801120892243772,True
dignity,11,32,43,0.2558139534883721,0.7441860465116279,0.8683373604507394,False
dumb,134,33,167,0.8023952095808383,0.19760479041916168,0.686905363312867,True
story,589,809,1398,0.42131616595135907,0.5786838340486409,0.5645990920040105,True
greatest,20,80,100,0.2,0.8,0.7415349597359391,True
musicians,1,25,26,0.038461538461538464,0.9615384615384616,0.9736890280416928,False
cold,108,36,144,0.75,0.25,0.7012791331132826,True
his,779,1081,1860,0.4188172043010753,0.5811827956989247,0.5560045777577105,True
usual,42,69,111,0.3783783783783784,0.6216216216216216,0.7292548382871245,False
intelligence,88,153,241,0.3651452282157676,0.6348547717842323,0.655586344821363,False
subtlety,21,37,58,0.3620689655172414,0.6379310344827587,0.8171509397384287,False
redundant,30,0,30,1.0,0.0,0.9409804862449196,True
concept,65,47,112,0.5803571428571429,0.41964285714285715,0.7282290844247479,False
swimming,2,5,7,0.2857142857142857,0.7142857142857143,1.4129163376989913,False
is,4156,4529,8685,0.47852619458837076,0.5214738054116292,0.5259176182065776,False
above,36,101,137,0.26277372262773724,0.7372262773722628,0.7063572424567091,True
all,830,852,1682,0.4934601664684899,0.5065398335315101,0.5588934510078973,False
young,77,204,281,0.27402135231316727,0.7259786476868327,0.6440876769146568,True
woman,47,106,153,0.30718954248366015,0.6928104575163399,0.695269441425605,False
face,63,143,206,0.3058252427184466,0.6941747572815534,0.6682853805536253,True
by,1185,1026,2211,0.5359565807327001,0.46404341926729986,0.551367168641368,False
casting,12,68,80,0.15,0.85,0.7700442944561172,True
actress,33,56,89,0.3707865168539326,0.6292134831460674,0.756026545267517,False
whose,55,153,208,0.2644230769230769,0.7355769230769231,0.6674743619509728,True
projects,6,15,21,0.2857142857142857,0.7142857142857143,1.0270724933181201,False
doubts,1,9,10,0.1,0.9,1.263800607322629,False
yearnings,0,9,9,0.0,1.0,1.3051165324531304,False
it,3622,3456,7078,0.5117264764057643,0.48827352359423565,0.5287094399260603,False
succeeds,8,63,71,0.11267605633802817,0.8873239436619719,0.7866492600272034,True
equals,4,5,9,0.4444444444444444,0.5555555555555556,1.3051165324531304,False
original,134,193,327,0.40978593272171254,0.5902140672782875,0.6335691379398032,False
ways,44,95,139,0.31654676258992803,0.6834532374100719,0.704867278978721,False
even,523,455,978,0.5347648261758691,0.4652351738241309,0.5772343635273353,False
betters,0,6,6,0.0,1.0,1.4860623439945513,False
if,573,477,1050,0.5457142857142857,0.4542857142857143,0.5745393068404288,False
anything,181,92,273,0.663003663003663,0.336996336996337,0.646183607734241,True
see,208,332,540,0.3851851851851852,0.6148148148148148,0.6039400973982412,True
karen,1,1,2,0.5,0.5,2.2079100792290225,False
black,51,80,131,0.3893129770992366,0.6106870229007634,0.7110300741467505,False
camps,0,1,1,0.0,1.0,2.915349597359391,False
storm,1,6,7,0.14285714285714285,0.8571428571428571,1.4129163376989913,False
fringe,3,1,4,0.75,0.25,1.7076747986796954,False
feminist,7,1,8,0.875,0.125,1.3539550396145112,False
conspiracy,11,11,22,0.5,0.5,1.0149542644062572,False
theorist,3,1,4,0.75,0.25,1.7076747986796954,False
named,14,1,15,0.9333333333333333,0.06666666666666667,1.1236405843894475,False
dirty,26,20,46,0.5652173913043478,0.43478260869565216,0.8561238694326118,False
dick,2,1,3,0.6666666666666666,0.3333333333333333,1.8945027402224985,False
smile,17,60,77,0.22077922077922077,0.7792207792207793,0.7752546324666305,True
your,488,478,966,0.505175983436853,0.494824016563147,0.5777125994502625,False
comes,176,138,314,0.5605095541401274,0.4394904458598726,0.636306063408274,False
brave,0,18,18,0.0,1.0,1.0693033597430075,False
uninhibited,0,10,10,0.0,1.0,1.263800607322629,False
performances,102,481,583,0.17495711835334476,0.8250428816466552,0.6000335593556765,True
excruciatingly,16,1,17,0.9411764705882353,0.058823529411764705,1.085808324276815,False
unfunny,112,0,112,1.0,0.0,0.7282290844247479,True
pitifully,9,0,9,1.0,0.0,1.3051165324531304,False
unromantic,4,0,4,1.0,0.0,1.7076747986796954,False
enriched,0,12,12,0.0,1.0,1.1972513701112493,False
imaginatively,0,14,14,0.0,1.0,1.145529333042945,False
mixed,33,18,51,0.6470588235294118,0.35294117647058826,0.8382165937147428,False
cast,143,363,506,0.2826086956521739,0.717391304347826,0.6073753867088627,True
antic,1,10,11,0.09090909090909091,0.9090909090909091,1.2282553047251898,False
spirits,2,43,45,0.044444444444444446,0.9555555555555556,0.860059059274823,True
which,461,381,842,0.5475059382422803,0.4524940617577197,0.5832384440736982,False
half,130,62,192,0.6770833333333334,0.3229166666666667,0.6743128425278123,True
dragonfly,19,1,20,0.95,0.05,1.0400885889122344,False
worse,121,1,122,0.9918032786885246,0.00819672131147541,0.7186754777504292,True
or,1201,509,1710,0.7023391812865497,0.2976608187134503,0.5584092922865672,True
world,89,350,439,0.20273348519362186,0.7972665148063781,0.6152783466882673,True
cinema,96,254,350,0.2742857142857143,0.7257142857142858,0.629105866608589,True
very,359,531,890,0.40337078651685393,0.596629213483146,0.5809627024509557,True
good,345,996,1341,0.25727069351230425,0.7427293064876958,0.5659577163123208,True
viewing,17,58,75,0.22666666666666666,0.7733333333333333,0.7789005480444997,False
alternative,15,22,37,0.40540540540540543,0.5945945945945946,0.8970810277942863,False
plot,436,127,563,0.7744227353463587,0.2255772646536412,0.6017948488706433,True
but,1248,1442,2690,0.4639405204460966,0.5360594795539033,0.5465697449428137,False
boilerplate,10,0,10,1.0,0.0,1.263800607322629,False
start,41,29,70,0.5857142857142857,0.4142857142857143,0.7886894940308252,False
finish,18,21,39,0.46153846153846156,0.5384615384615384,0.8867654718190199,False
action,365,255,620,0.5887096774193549,0.4112903225806452,0.5970027741327966,False
stilted,28,0,28,1.0,0.0,0.9564581688494956,True
cylinders,16,3,19,0.8421052631578947,0.15789473684210525,1.0541192004321704,False
will,376,561,937,0.4012806830309498,0.5987193169690501,0.5789060319343762,True
find,129,189,318,0.4056603773584906,0.5943396226415094,0.6354460796596577,False
little,526,379,905,0.5812154696132596,0.41878453038674035,0.5802889373186713,True
interest,115,71,186,0.6182795698924731,0.3817204301075269,0.677102025110371,False
often,158,304,462,0.341991341991342,0.658008658008658,0.6123722331467609,True
preachy,42,0,42,1.0,0.0,0.8726965342021439,True
poorly,95,0,95,1.0,0.0,0.7478096399608328,True
acted,26,54,80,0.325,0.675,0.7700442944561172,False
year,126,221,347,0.3631123919308357,0.6368876080691642,0.629662760063015,True
sit,88,25,113,0.7787610619469026,0.22123893805309736,0.7272169770677899,True
another,269,150,419,0.6420047732696897,0.35799522673031026,0.6179975494007918,True
best,117,690,807,0.1449814126394052,0.8550185873605948,0.585024332674804,True
man,140,173,313,0.4472843450479233,0.5527156549520766,0.6365236310860998,False
clone,0,7,7,0.0,1.0,1.4129163376989913,False
weaving,0,14,14,0.0,1.0,1.145529333042945,False
theme,16,39,55,0.2909090909090909,0.7090909090909091,0.8256856732680697,False
funny,252,853,1105,0.22805429864253393,0.7719457013574661,0.5726605800218237,True
issues,35,43,78,0.44871794871794873,0.5512820512820513,0.7734844878520435,False
adults,54,67,121,0.4462809917355372,0.5537190082644629,0.719577236123581,False
have,958,713,1671,0.5733093955715141,0.42669060442848594,0.5590869774327047,True
marriage,10,22,32,0.3125,0.6875,0.9269775198072556,False
i,620,493,1113,0.5570530098831986,0.44294699011680144,0.5723989749240186,False
think,145,60,205,0.7073170731707317,0.2926829268292683,0.6686953333670651,True
what,424,560,984,0.43089430894308944,0.5691056910569106,0.5769985328591629,False
liked,23,48,71,0.323943661971831,0.676056338028169,0.7866492600272034,False
real,145,323,468,0.30982905982905984,0.6901709401709402,0.6116495746339818,True
tucked,2,7,9,0.2222222222222222,0.7777777777777778,1.3051165324531304,False
between,142,164,306,0.46405228758169936,0.5359477124183006,0.6380763461905546,False
silly,157,53,210,0.7476190476190476,0.2523809523809524,0.6666749570909138,True
crude,42,7,49,0.8571428571428571,0.14285714285714285,0.8450499424799129,True
storyline,45,37,82,0.5487804878048781,0.45121951219512196,0.7667307420406637,False
heroes,15,9,24,0.625,0.375,0.9930311719972756,False
oblivious,5,0,5,1.0,0.0,1.5801771778244689,False
existence,13,16,29,0.4482758620689655,0.5517241379310345,0.9485191602974581,False
sharply,0,10,10,0.0,1.0,1.263800607322629,False
entire,61,12,73,0.8356164383561644,0.1643835616438356,0.7826952877546551,True
point,127,95,222,0.5720720720720721,0.42792792792792794,0.6621076507726511,False
shaggy,7,7,14,0.5,0.5,1.145529333042945,False
dog,60,17,77,0.7792207792207793,0.22077922077922077,0.7752546324666305,True
course,20,14,34,0.5882352941176471,0.4117647058823529,0.9142290385716638,False
nowhere,42,0,42,1.0,0.0,0.8726965342021439,True
classic,69,104,173,0.3988439306358382,0.6011560693641619,0.6836356293816797,False
nowheresville,5,0,5,1.0,0.0,1.5801771778244689,False
every,308,211,519,0.5934489402697495,0.40655105973025046,0.6060220800563191,False
sense,222,321,543,0.4088397790055249,0.5911602209944752,0.6036525723733016,False
sometimes,94,164,258,0.3643410852713178,0.6356589147286822,0.650373097717986,False
dry,57,41,98,0.5816326530612245,0.41836734693877553,0.7439871541755746,False
come,148,148,296,0.5,0.5,0.6403893437169319,False
already,138,25,163,0.8466257668711656,0.15337423312883436,0.6891847812505948,True
having,94,50,144,0.6527777777777778,0.3472222222222222,0.7012791331132826,False
been,517,259,776,0.6662371134020618,0.3337628865979381,0.5867059974669122,True
recycled,36,2,38,0.9473684210526315,0.05263157894736842,0.8918214442112555,True
times,111,161,272,0.40808823529411764,0.5919117647058824,0.6464520810692038,False
d,119,61,180,0.6611111111111111,0.3388888888888889,0.6800295296374115,False
care,191,100,291,0.6563573883161512,0.3436426116838488,0.6415903009553238,True
count,12,18,30,0.4,0.6,0.9409804862449196,False
covers,4,11,15,0.26666666666666666,0.7333333333333333,1.1236405843894475,False
territory,19,25,44,0.4318181818181818,0.5681818181818182,0.8641276523625949,False
originality,3,71,74,0.04054054054054054,0.9594594594594594,0.7807786874338638,True
suggesting,0,7,7,0.0,1.0,1.4129163376989913,False
fourth,4,10,14,0.2857142857142857,0.7142857142857143,1.145529333042945,False
feature,64,147,211,0.3033175355450237,0.6966824644549763,0.6662795236581518,True
40,13,2,15,0.8666666666666667,0.13333333333333333,1.1236405843894475,False
million,7,15,22,0.3181818181818182,0.6818181818181818,1.0149542644062572,False
version,74,51,125,0.592,0.408,0.7160354355648938,False
game,39,59,98,0.3979591836734694,0.6020408163265306,0.7439871541755746,False
gorgeous,10,133,143,0.06993006993006994,0.9300699300699301,0.7019816802165635,True
deceptively,1,35,36,0.027777777777777776,0.9722222222222222,0.9025582662265652,True
minimalist,5,17,22,0.22727272727272727,0.7727272727272727,1.0149542644062572,False
cross,9,17,26,0.34615384615384615,0.6538461538461539,0.9736890280416928,False
swords,0,8,8,0.0,1.0,1.3539550396145112,False
them,221,231,452,0.4889380530973451,0.5110619469026548,0.6136084885338949,False
proves,40,101,141,0.28368794326241137,0.7163120567375887,0.7034091303463454,True
once,90,145,235,0.3829787234042553,0.6170212765957447,0.6575600348595859,False
again,128,119,247,0.5182186234817814,0.4817813765182186,0.6536850146059461,False
he,366,340,706,0.5184135977337111,0.48158640226628896,0.590902881256706,False
has,790,1096,1886,0.4188759278897137,0.5811240721102863,0.5556172043876177,True
lost,92,37,129,0.7131782945736435,0.2868217054263566,0.7126596742088306,True
touch,20,75,95,0.21052631578947367,0.7894736842105263,0.7478096399608328,True
bringing,1,31,32,0.03125,0.96875,0.9269775198072556,True
off,311,208,519,0.5992292870905588,0.4007707129094412,0.6060220800563191,False
superb,7,58,65,0.1076923076923077,0.8923076923076924,0.7995872462486235,True
performance,83,370,453,0.18322295805739514,0.8167770419426048,0.6134830235717825,True
admittedly,6,12,18,0.3333333333333333,0.6666666666666666,1.0693033597430075,False
middling,2,8,10,0.2,0.8,1.263800607322629,False
disappointments,14,0,14,1.0,0.0,1.145529333042945,False
horrors,8,6,14,0.5714285714285714,0.42857142857142855,1.145529333042945,False
muddle,19,1,20,0.95,0.05,1.0400885889122344,False
splashed,0,7,7,0.0,1.0,1.4129163376989913,False
bloody,13,16,29,0.4482758620689655,0.5517241379310345,0.9485191602974581,False
beauty,15,136,151,0.09933774834437085,0.9006622516556292,0.696558362622864,True
vivid,2,81,83,0.024096385542168676,0.9759036144578314,0.7651190611705501,True
any,497,291,788,0.6307106598984772,0.36928934010152287,0.586043266750671,True
scorsese,10,30,40,0.25,0.75,0.8819003036613146,False
ever,219,249,468,0.46794871794871795,0.532051282051282,0.6116495746339818,False
given,54,41,95,0.5684210526315789,0.43157894736842106,0.7478096399608328,False
us,205,487,692,0.29624277456647397,0.703757225433526,0.5918178146908398,True
many,311,280,591,0.5262267343485617,0.47377326565143824,0.5993542064409093,False
pointless,93,0,93,1.0,0.0,0.750460085834827,True
beautifully,6,187,193,0.031088082901554404,0.9689119170984456,0.6738606683743806,True
contrived,131,5,136,0.9632352941176471,0.03676470588235294,0.7071145192858319,True
wellworn,7,0,7,1.0,0.0,1.4129163376989913,False
situations,72,31,103,0.6990291262135923,0.30097087378640774,0.7379914675280544,False
doa,6,0,6,1.0,0.0,1.4860623439945513,False
poor,88,2,90,0.9777777777777777,0.022222222222222223,0.7546002024408764,True
ben,11,4,15,0.7333333333333333,0.26666666666666666,1.1236405843894475,False
bratt,1,0,1,1.0,0.0,2.915349597359391,False
stardom,3,3,6,0.5,0.5,1.4860623439945513,False
mapquest,3,1,4,0.75,0.25,1.7076747986796954,False
emailed,3,1,4,0.75,0.25,1.7076747986796954,False
him,110,135,245,0.4489795918367347,0.5510204081632653,0.6543110254034955,False
pointtopoint,3,1,4,0.75,0.25,1.7076747986796954,False
driving,3,1,4,0.75,0.25,1.7076747986796954,False
directions,8,7,15,0.5333333333333333,0.4666666666666667,1.1236405843894475,False
be,1392,1279,2671,0.5211531261699738,0.4788468738300262,0.5467350869847423,False
subtle,11,80,91,0.12087912087912088,0.8791208791208791,0.753197435829424,True
touching,1,177,178,0.0056179775280898875,0.9943820224719101,0.6810381063224258,True
son,3,33,36,0.08333333333333333,0.9166666666666666,0.9025582662265652,True
room,55,27,82,0.6707317073170732,0.32926829268292684,0.7667307420406637,False
starts,69,18,87,0.7931034482758621,0.20689655172413793,0.7589526579344423,True
legend,1,11,12,0.08333333333333333,0.9166666666666666,1.1972513701112493,False
less,272,96,368,0.7391304347826086,0.2608695652173913,0.6259088015090962,True
sophisticated,10,73,83,0.12048192771084337,0.8795180722891566,0.7651190611705501,True
rich,14,169,183,0.07650273224043716,0.9234972677595629,0.6785477799159625,True
veins,0,5,5,0.0,1.0,1.5801771778244689,False
stuff,63,106,169,0.3727810650887574,0.6272189349112426,0.6857961228737993,False
apparent,38,16,54,0.7037037037037037,0.2962962962962963,0.8286874479981837,False
joy,16,53,69,0.2318840579710145,0.7681159420289855,0.7907739217784795,False
shot,48,92,140,0.34285714285714286,0.6571428571428571,0.7041342988865098,False
ugly,133,2,135,0.9851851851851852,0.014814814814814815,0.7078801947964825,True
digital,25,21,46,0.5434782608695652,0.45652173913043476,0.8561238694326118,False
video,119,45,164,0.725609756097561,0.27439024390243905,0.688607116447873,True
sour,46,0,46,1.0,0.0,0.8561238694326118,True
at,971,1040,2011,0.4828443560417703,0.5171556439582298,0.5538609443976741,False
core,46,38,84,0.5476190476190477,0.4523809523809524,0.7635362466590601,False
exploration,18,37,55,0.32727272727272727,0.6727272727272727,0.8256856732680697,False
emptiness,25,0,25,1.0,0.0,0.9830699194718782,True
underlay,7,0,7,1.0,0.0,1.4129163376989913,False
relentless,15,2,17,0.8823529411764706,0.11764705882352941,1.085808324276815,False
gaiety,8,0,8,1.0,0.0,1.3539550396145112,False
1920,5,1,6,0.8333333333333334,0.16666666666666666,1.4860623439945513,False
ending,97,59,156,0.6217948717948718,0.3782051282051282,0.6933827359095099,False
though,117,140,257,0.45525291828793774,0.5447470817120622,0.6506653683488841,False
ford,13,0,13,1.0,0.0,1.169897447803891,False
neeson,5,0,5,1.0,0.0,1.5801771778244689,False
capably,6,0,6,1.0,0.0,1.4860623439945513,False
hold,44,53,97,0.4536082474226804,0.5463917525773195,0.7452415951135889,False
our,75,244,319,0.23510971786833856,0.7648902821316614,0.6352336150901761,True
just,710,340,1050,0.6761904761904762,0.3238095238095238,0.5745393068404288,True
not,1172,714,1886,0.6214209968186638,0.37857900318133614,0.5556172043876177,True
thrilling,14,9,23,0.6086956521739131,0.391304347826087,1.003635206036385,False
pretty,68,149,217,0.31336405529953915,0.6866359447004609,0.6639646145576046,True
damned,39,24,63,0.6190476190476191,0.38095238095238093,0.8043054458996637,False
we,285,306,591,0.48223350253807107,0.5177664974619289,0.5993542064409093,False
never,361,313,674,0.5356083086053413,0.46439169139465875,0.5930357902915292,False
feel,253,248,501,0.5049900199600799,0.49500998003992014,0.6079098618216685,False
these,141,174,315,0.44761904761904764,0.5523809523809524,0.6360895325910065,False
lousy,61,0,61,1.0,0.0,0.809253826393073,True
one,871,1160,2031,0.42885278188084686,0.5711472181191531,0.5535950940854354,True
corporate,2,7,9,0.2222222222222222,0.7777777777777778,1.3051165324531304,False
circus,3,8,11,0.2727272727272727,0.7272727272727273,1.2282553047251898,False
recording,9,17,26,0.34615384615384615,0.6538461538461539,0.9736890280416928,False
industry,19,34,53,0.3584905660377358,0.6415094339622641,0.8317737828265249,False
current,7,20,27,0.25925925925925924,0.7407407407407407,0.9648342467408328,False
climate,5,7,12,0.4166666666666667,0.5833333333333334,1.1972513701112493,False
mergers,4,6,10,0.4,0.6,1.263800607322629,False
downsizing,4,6,10,0.4,0.6,1.263800607322629,False
storylines,4,14,18,0.2222222222222222,0.7777777777777778,1.0693033597430075,False
woven,0,13,13,0.0,1.0,1.169897447803891,False
together,98,147,245,0.4,0.6,0.6543110254034955,False
skilfully,0,8,8,0.0,1.0,1.3539550396145112,False
magnificent,4,38,42,0.09523809523809523,0.9047619047619048,0.8726965342021439,True
swooping,0,21,21,0.0,1.0,1.0270724933181201,False
aerial,0,9,9,0.0,1.0,1.3051165324531304,False
shots,26,45,71,0.36619718309859156,0.6338028169014085,0.7866492600272034,False
breathtaking,0,43,43,0.0,1.0,0.8683373604507394,True
overall,28,39,67,0.417910447761194,0.582089552238806,0.7950819182356224,False
experience,84,184,268,0.31343283582089554,0.6865671641791045,0.6475409591178112,True
awesome,0,9,9,0.0,1.0,1.3051165324531304,False
highlypraised,4,1,5,0.8,0.2,1.5801771778244689,False
sounds,32,48,80,0.4,0.6,0.7700442944561172,False
cruel,40,17,57,0.7017543859649122,0.2982456140350877,0.8199208695326539,False
deception,12,4,16,0.75,0.25,1.1038373993398478,False
carried,15,26,41,0.36585365853658536,0.6341463414634146,0.877214232895746,False
men,50,92,142,0.352112676056338,0.647887323943662,0.7026916355873415,False
marginal,19,9,28,0.6785714285714286,0.32142857142857145,0.9564581688494956,False
reactionary,12,1,13,0.9230769230769231,0.07692307692307693,1.169897447803891,False
ideas,92,87,179,0.5139664804469274,0.4860335195530726,0.6805317050330667,False
women,109,126,235,0.46382978723404256,0.5361702127659574,0.6575600348595859,False
total,32,5,37,0.8648648648648649,0.13513513513513514,0.8970810277942863,False
lack,146,14,160,0.9125,0.0875,0.6909501518306573,True
empathy,34,17,51,0.6666666666666666,0.3333333333333333,0.8382165937147428,False
seem,237,92,329,0.7203647416413373,0.2796352583586626,0.6331625338367524,True
fresh,47,147,194,0.2422680412371134,0.7577319587628866,0.6734119949338243,True
dustbin,7,0,7,1.0,0.0,1.4129163376989913,False
history,57,202,259,0.22007722007722008,0.7799227799227799,0.6500825214122298,True
eastwood,16,18,34,0.47058823529411764,0.5294117647058824,0.9142290385716638,False
